WERKS,BANFN,BNFPO,MATNR,MATKL,MENGE,MEINS,NETPR,PEINH,BADAT,FRGDT,LOEKZ,ERNAM,PERNR,EBELN,EBELP,LAND1
CN10,1005056,2,49790248,PYTF,72,PCS,700,EUR,2023-03-08,2023-03-16, ,46532170,12948061,875533,2,CN
CN10,1005068,1,20667944,COLA,44,KG,463,EUR,2023-03-10,2023-03-16, ,18577068,23246292,875533,4,CN
CN10,1005098,2,83863032,ZUFN,89,G,263,EUR,2023-03-16,2023-03-24, ,64389461,23344986,158111,1,CN
CN10,1005126,1,25398208,COLA,9,PCS,504,EUR,2023-03-17,2023-03-21, ,93774896,49485597,477045,2,CN
CN10,1005126,3,68338888,UDF3,37,PCS,167,EUR,2023-03-17,2023-03-21, ,93774896,71417158,477045,3,CN
CN10,1005141,2,98151444,MPLF,92,PCS,916,EUR,2023-03-20,2023-03-21, ,66775960,20837115,477045,4,CN
BR10,1005095,2,85602600,ZUFN,44,L,361,EUR,2023-03-13,2023-03-16, ,75758576,24642678,740599,4,BR
BR10,1005077,1,28348643,ZELA,13,PCS,684,EUR,2023-03-20,2023-03-29, ,94248358,40138709,597783,2,BR
BR10,1005110,3,56831936,UDF3,88,G,964,EUR,2023-03-16,2023-03-21, ,99683743,89359211,597783,1,BR
BR10,1005089,1,87079640,MPLF,65,KG,332,EUR,2023-03-13,2023-03-17, ,60223748,32008687,459651,4,BR
BR10,1005109,1,25398208,COLA,63,PCS,504,EUR,2023-03-15,2023-03-17, ,65996666,53251766,459651,2,BR
BR10,1005105,2,93159896,MPLF,42,PCS,159,EUR,2023-03-14,2023-03-17, ,61568536,32008687,459651,1,BR
BR10,1005084,1,20667944,COLA,23,KG,463,EUR,2023-03-13,2023-03-20, ,66182728,53251766,778670,2,BR
IN10,1005080,3,74349496,UDF3,63,KG,341,EUR,2023-03-13,2023-03-15, ,67295445,98019339,645769,9,IN
IN10,1005039,3,28440760,ZELA,7,PCS,603,EUR,2023-03-07,2023-03-16, ,60003378,70768553,341410,2,IN
JP11,1005097,2,58774200,UDF3,52,KG,934,EUR,2023-03-13,2023-03-20, ,57122925,79246109,488480,3,JP
JP11,1005097,1,88346328,MPLF,46,KG,618,EUR,2023-03-13,2023-03-20,x,57122925,40601709,488480,2,JP
JP11,1005079,1,40378320,EDSA,36,PCS,605,EUR,2023-03-13,2023-03-20, ,69707819,59231227,488480,1,JP
JP11,1005079,3,79697072,ZUFN,61,PCS,710,EUR,2023-03-13,2023-03-17,x,69707819,92217720,399669,4,JP
JP11,1005065,2,98147568,MPLF,68,L,996,EUR,2023-03-10,2023-03-17, ,31759289,79246109,399669,1,JP
US10,1005103,1,19474160,COLA,21,KG,986,EUR,2023-03-14,2023-03-17,x,14516278,56417381,764912,2,US
JP11,1005065,1,35470001,EDSA,27,KG,235,EUR,2023-03-10,2023-03-16, ,31759289,59231227,261838,2,JP
JP11,1005031,3,77128608,ZUFN,29,PCS,606,EUR,2023-03-06,2023-03-16, ,20910031,92217720,261838,1,JP
IN10,1005124,2,77128608,ZUFN,2,PCS,606,EUR,2023-03-17,2023-03-22, ,96108943,44488029,955365,3,IN
JP11,1005120,2,82207928,ZUFN,73,KG,441,EUR,2023-03-17,2023-03-22, ,86205557,92217720,929242,1,JP
US10,1005063,2,75603272,ZUFN,68,PCS,320,EUR,2023-03-09,2023-03-14, ,27072007,88510487,500628,2,US
US10,1005101,2,26709208,ZELA,67,KG,229,EUR,2023-03-14,2023-03-16, ,91415001,56417381,403374,1,US
US10,1005104,1,32645344,EDSA,39,PCS,845,EUR,2023-03-14,2023-03-20, ,38398035,23329589,156136,1,US
US10,1005096,1,98147568,MPLF,76,L,996,EUR,2023-03-13,2023-03-17, ,42049506,81552979,764912,8,US
US10,1005104,2,97625203,MPLF,50,KG,554,EUR,2023-03-14,2023-03-17, ,38398035,81552979,764912,3,US
IN10,1005138,1,19474160,COLA,77,KG,986,EUR,2023-03-30,2023-04-05, ,27414385,30090592,955365,5,IN
JP11,1005074,1,86457056,MPLF,95,PCS,159,EUR,2023-03-13,2023-03-22, ,34256510,40601709,929242,3,JP
JP11,1005074,2,86834912,MPLF,40,PCS,381,EUR,2023-03-23,2023-03-28, ,34256510,40601709,261838,3,JP
IN10,1005080,4,26230416,ZELA,83,PCS,190,EUR,2023-03-13,2023-03-17,x,67295445,70768553,475596,6,IN
IN10,1005082,1,86457056,MPLF,9,PCS,159,EUR,2023-03-21,2023-03-28, ,70110687,49826393,475596,7,IN
IN10,1005083,1,48075088,PYTF,56,KG,353,EUR,2023-03-13,2023-03-17, ,81552979,87940829,475596,8,IN
IN10,1005071,2,67221888,UDF3,19,KG,193,EUR,2023-03-13,2023-03-20, ,47349658,98019339,451978,1,IN
IN10,1005086,1,88346328,MPLF,58,KG,618,EUR,2023-03-13,2023-03-20, ,63234814,49826393,451978,2,IN
IN10,1005072,1,22818912,COLA,93,KG,636,EUR,2023-03-13,2023-03-17, ,11553472,30090592,475596,2,IN
CN10,1005165,1,97625203,MPLF,14,KG,554,EUR,2023-03-22,2023-03-27,x,26309199,20837115,427145,5,CN
CN10,1005157,3,60261224,UDF3,9,KG,350,EUR,2023-03-21,2023-03-28, ,69540038,71417158,138213,2,CN
CN10,1005165,2,28348643,ZELA,13,PCS,684,EUR,2023-03-22,2023-03-28, ,26309199,93048219,138213,3,CN
CN10,1005187,3,75227320,UDF3,12,PCS,594,EUR,2023-03-27,2023-03-29, ,39024132,71417158,702209,3,CN
JP11,1005152,1,86662444,MPLF,76,KG,447,EUR,2023-03-20,2023-03-23, ,47395487,40601709,416230,1,JP
CN10,1005113,1,88797376,MPLF,7,PCS,6,EUR,2023-03-27,2023-04-06, ,84718420,20837115,427145,1,CN
JP11,1005133,1,54753968,PYTF,69,PCS,13,EUR,2023-03-20,2023-03-21, ,27335411,70110687,128285,1,JP
JP11,1005153,1,22818912,COLA,35,KG,636,EUR,2023-03-20,2023-03-24, ,19048037,40601709,607736,2,JP
JP11,1005172,2,78949416,ZUFN,43,PCS,991,EUR,2023-03-23,2023-03-24, ,29640411,92217720,607736,4,JP
JP11,1005159,1,20667944,COLA,34,KG,463,EUR,2023-03-22,2023-03-27, ,44488029,33607135,713758,2,JP
JP11,1005195,1,75227320,UDF3,3,PCS,594,EUR,2023-03-27,2023-03-28, ,30456127,79246109,993237,2,JP
CN10,1005140,1,86457056,MPLF,76,PCS,159,EUR,2023-03-20,2023-03-22, ,14216209,20837115,934207,2,CN
CN10,1005116,1,86834912,MPLF,72,PCS,381,EUR,2023-03-16,2023-03-24,x,98828930,20837115,276485,1,CN
JP11,1005215,1,49991456,PYTF,40,PCS,733,EUR,2023-03-28,2023-03-30,x,30456127,70110687,634404,1,JP
CN10,1005141,1,86662444,MPLF,27,KG,447,EUR,2023-03-20,2023-03-24, ,66775960,20837115,276485,2,CN
US10,1005162,1,88346328,MPLF,59,KG,618,EUR,2023-03-22,2023-03-27, ,13848588,81552979,196056,2,US
IN10,1005107,1,87079640,MPLF,83,KG,332,EUR,2023-03-15,2023-03-23, ,24721437,49826393,955365,1,IN
DE10,1005111,1,25235624,COLA,92,L,640,EUR,2023-03-16,2023-03-24, ,16842993,63821277,644825,1,DE
DE10,1005164,2,58890322,UDF3,2,PCS,813,EUR,2023-03-22,2023-03-24, ,91999822,59321219,644825,2,DE
DE10,1005130,1,90455123,MPLF,99,PCS,437,EUR,2023-03-20,2023-03-27, ,58600522,47656838,541746,1,DE
DE10,1005143,1,20667944,COLA,72,KG,463,EUR,2023-03-20,2023-03-27, ,42114537,63821277,541746,2,DE
DE10,1005156,1,86457056,MPLF,70,PCS,159,EUR,2023-03-21,2023-03-27, ,34037891,47656838,541746,3,DE
DE10,1005164,1,19816724,COLA,12,PCS,521,EUR,2023-03-22,2023-03-29, ,91999822,63821277,440201,1,DE
DE10,1005211,1,88797376,MPLF,3,PCS,6,EUR,2023-03-28,2023-03-29, ,86489593,47656838,440201,4,DE
DE10,1005177,2,29156488,ZELA,31,PCS,374,EUR,2023-03-24,2023-03-30, ,30655341,79833202,204546,1,DE
DE10,1005211,2,26709208,ZELA,64,KG,229,EUR,2023-03-28,2023-03-30, ,86489593,79833202,204546,2,DE
US10,1005136,2,62792440,UDF3,75,PCS,124,EUR,2023-03-20,2023-03-23, ,32856039,40424932,316266,2,US
US10,1005154,3,26709208,ZELA,61,KG,229,EUR,2023-03-20,2023-03-22, ,98844516,56417381,840245,4,US
US10,1005061,3,82809960,ZUFN,25,L,435,EUR,2023-03-09,2023-03-21, ,98215505,88510487,824055,8,US
US10,1005149,1,88797376,MPLF,85,PCS,6,EUR,2023-03-20,2023-03-21, ,24536147,81552979,824055,6,US
US10,1005119,1,97625203,MPLF,64,KG,554,EUR,2023-03-17,2023-03-24, ,37259073,81552979,121409,2,US
DE10,1005121,1,19474160,COLA,38,KG,986,EUR,2023-03-17,2023-03-23, ,85699417,63821277,589861,3,DE
IN10,1005125,2,29156488,ZELA,93,PCS,374,EUR,2023-03-17,2023-03-22, ,85564101,44488029,955365,4,IN
IN10,1005146,1,79697072,ZUFN,55,PCS,710,EUR,2023-03-20,2023-03-28, ,48760690,44155404,853847,2,IN
US10,1005174,1,21595928,COLA,9,PCS,83,EUR,2023-03-24,2023-03-28, ,19370231,22179495,719488,3,US
US10,1005171,2,77128608,ZUFN,99,PCS,606,EUR,2023-03-23,2023-03-27, ,61835271,88510487,196056,4,US
US10,1005136,1,25398208,COLA,58,PCS,504,EUR,2023-03-20,2023-03-27, ,32856039,22179495,196056,1,US
US10,1005167,3,75990376,ZUFN,60,PCS,499,EUR,2023-03-22,2023-03-24, ,16116408,88510487,121409,7,US
US10,1005158,1,88346328,MPLF,7,KG,618,EUR,2023-03-21,2023-03-24, ,98901523,81552979,121409,5,US
US10,1005139,3,32003616,ZELA,18,L,231,EUR,2023-03-20,2023-03-24, ,10989829,56417381,121409,3,US
IN10,1005163,1,93159896,MPLF,99,PCS,159,EUR,2023-03-22,2023-03-27, ,27414385,44155404,726504,4,IN
IN10,1005150,2,53640144,PYTF,89,PCS,488,EUR,2023-03-30,2023-04-03,x,77821960,87940829,726504,3,IN
IN10,1005132,1,54836888,PYTF,43,PCS,389,EUR,2023-03-20,2023-03-27, ,67707119,87940829,726504,2,IN
IN10,1005161,2,28440760,ZELA,54,PCS,603,EUR,2023-03-22,2023-03-23, ,54041906,70768553,690585,4,IN
IN10,1005138,2,25150904,COLA,82,PCS,976,EUR,2023-03-20,2023-03-23,x,27414385,30090592,690585,3,IN
IN10,1005124,1,19474160,COLA,13,KG,986,EUR,2023-03-20,2023-03-27, ,96108943,87940829,690585,2,IN
IN10,1005123,1,89034752,MPLF,50,PCS,726,EUR,2023-03-17,2023-03-23, ,67199101,49826393,690585,1,IN
IN10,1005147,2,76304544,ZUFN,72,PCS,692,EUR,2023-03-20,2023-03-22,x,59991942,44488029,955365,6,IN
BR10,1005131,5,28440760,ZELA,3,PCS,603,EUR,2023-03-20,2023-03-24, ,36266286,40138709,461231,2,BR
BR10,1005173,1,40378320,EDSA,14,PCS,605,EUR,2023-03-24,2023-03-28, ,49712938,84141246,617914,2,BR
BR10,1005160,1,97625203,MPLF,64,KG,554,EUR,2023-03-22,2023-03-28, ,26876759,32008687,617914,1,BR
BR10,1005168,1,25398208,COLA,27,PCS,504,EUR,2023-03-23,2023-03-29, ,27976565,53251766,938270,2,BR
BR10,1005137,1,37141432,EDSA,46,PCS,474,EUR,2023-03-20,2023-03-27, ,70768553,84141246,602894,3,BR
BR10,1005117,1,56389144,UDF3,26,PCS,119,EUR,2023-03-17,2023-03-27, ,49712938,89359211,602894,1,BR
BR10,1005131,1,45841032,EDSA,16,PCS,603,EUR,2023-03-20,2023-03-24,x,36266286,84141246,461231,1,BR
BR10,1005131,2,98147568,MPLF,46,L,996,EUR,2023-03-20,2023-03-23, ,36266286,32008687,164804,2,BR
BR10,1005129,1,50191792,PYTF,65,KG,545,EUR,2023-03-20,2023-03-27, ,16949366,51619782,602894,2,BR
BR10,1005182,1,25235624,COLA,51,L,640,EUR,2023-03-24,2023-03-29, ,20704567,53251766,938270,6,BR
BR10,1005127,1,87079640,MPLF,49,KG,332,EUR,2023-03-17,2023-03-22, ,31978720,32008687,377958,1,BR
BR10,1005191,1,44074088,EDSA,72,PCS,52,EUR,2023-03-27,2023-03-30, ,65996666,84141246,836024,3,BR
US10,1005139,4,84480424,ZUFN,54,G,136,EUR,2023-03-20,2023-03-31, ,10989829,88510487,644878,1,US
US10,1005225,4,32003616,ZELA,41,L,231,EUR,2023-03-30,2023-04-03, ,99066604,56417381,802415,2,US
JP11,1005172,1,86662444,MPLF,73,KG,447,EUR,2023-03-23,2023-04-03, ,29640411,40601709,548905,2,JP
US10,1005192,2,90455123,MPLF,80,PCS,437,EUR,2023-03-27,2023-03-31, ,42400966,81552979,644878,5,US
JP11,1005196,1,25235624,COLA,26,L,640,EUR,2023-03-27,2023-03-31, ,20910031,33607135,877656,1,JP
US10,1005175,1,98151444,MPLF,84,PCS,916,EUR,2023-03-24,2023-03-28, ,86604031,81552979,719488,4,US
US10,1005144,1,44401842,EDSA,64,PCS,207,EUR,2023-03-20,2023-03-29, ,12521424,56417381,622789,1,US
US10,1005192,1,86457056,MPLF,56,PCS,159,EUR,2023-03-27,2023-03-31, ,42400966,81552979,644878,4,US
US10,1005171,1,49991456,PYTF,54,PCS,733,EUR,2023-03-23,2023-03-31, ,61835271,43449637,644878,3,US
US10,1005167,1,45162744,EDSA,42,PCS,520,EUR,2023-03-29,2023-04-03, ,16116408,23329589,644878,2,US
US10,1005241,3,85602600,ZUFN,43,L,361,EUR,2023-04-03,2023-04-04, ,44679314,88510487,396369,2,US
DE10,1005176,2,58200280,UDF3,48,PCS,335,EUR,2023-03-24,2023-03-29, ,59281781,59321219,440201,2,DE
US10,1005264,1,86834912,MPLF,98,PCS,381,EUR,2023-04-03,2023-04-04, ,17445420,81552979,396369,4,US
BR10,1005181,2,83863032,ZUFN,20,G,263,EUR,2023-03-24,2023-04-03, ,72482110,24642678,142943,3,BR
BR10,1005181,1,76304544,ZUFN,48,PCS,692,EUR,2023-03-24,2023-04-03, ,72482110,24642678,142943,2,BR
BR10,1005193,1,64963528,UDF3,53,KG,702,EUR,2023-03-27,2023-03-31, ,67231035,89359211,337442,2,BR
BR10,1005155,1,25398208,COLA,32,PCS,504,EUR,2023-03-21,2023-03-31, ,15532964,53251766,337442,1,BR
BR10,1005208,3,84480424,ZUFN,70,G,136,EUR,2023-03-27,2023-03-30, ,90458627,24642678,836024,6,BR
BR10,1005183,1,88797376,MPLF,44,PCS,6,EUR,2023-03-24,2023-03-30, ,68061790,53251766,836024,1,BR
BR10,1005208,1,87079640,MPLF,35,KG,332,EUR,2023-03-27,2023-03-29, ,90458627,32008687,938270,10,BR
BR10,1005202,1,97625203,MPLF,73,KG,554,EUR,2023-03-27,2023-03-29, ,78625865,32008687,938270,8,BR
US10,1005145,1,98151444,MPLF,82,PCS,916,EUR,2023-03-20,2023-03-28, ,88510487,81552979,719488,1,US
US10,1005242,1,98151444,MPLF,64,PCS,916,EUR,2023-04-03,2023-04-04, ,99741049,81552979,396369,3,US
JP11,1005152,2,82207928,ZUFN,13,KG,441,EUR,2023-03-20,2023-03-29,x,47395487,92217720,834223,1,JP
DE10,1005256,2,32071024,ZELA,31,KG,737,EUR,2023-04-03,2023-04-06, ,22153844,79833202,180915,3,DE
DE10,1005213,1,32003616,ZELA,58,L,231,EUR,2023-03-28,2023-04-04, ,19844160,79833202,361309,3,DE
CN10,1005265,1,90455123,MPLF,30,PCS,437,EUR,2023-04-03,2023-04-05, ,73651097,20837115,218060,4,CN
CN10,1005263,2,75603272,ZUFN,73,PCS,320,EUR,2023-04-03,2023-04-05, ,68613813,23344986,218060,3,CN
BR10,1005218,2,85602600,ZUFN,52,L,361,EUR,2023-03-29,2023-04-05,x,32511490,24642678,791994,2,BR
CN10,1005219,1,25235624,COLA,84,L,640,EUR,2023-03-29,2023-04-05, ,20887554,23246292,218060,1,CN
BR10,1005209,2,48075088,PYTF,66,KG,353,EUR,2023-03-28,2023-04-05, ,90546423,51619782,791994,1,BR
CN10,1005201,2,71374072,UDF3,47,PCS,293,EUR,2023-03-27,2023-04-04, ,47304745,71417158,779261,1,CN
BR10,1005247,1,40378320,EDSA,9,PCS,605,EUR,2023-04-03,2023-04-04, ,72702456,84141246,680518,5,BR
CN10,1005194,2,86662444,MPLF,80,KG,447,EUR,2023-03-27,2023-04-03, ,20270620,20837115,898186,1,CN
CN10,1005157,1,88797376,MPLF,52,PCS,6,EUR,2023-03-21,2023-03-30, ,69540038,20837115,759961,2,CN
CN10,1005151,1,98151444,MPLF,14,PCS,916,EUR,2023-03-20,2023-03-30, ,40424932,20837115,759961,1,CN
BR10,1005186,2,28348643,ZELA,27,PCS,684,EUR,2023-03-27,2023-04-03, ,24642678,40138709,142943,5,BR
BR10,1005197,1,93159896,MPLF,60,PCS,159,EUR,2023-03-27,2023-04-03, ,22853503,32008687,142943,6,BR
