WERKS,EBELN,EBELP,MATNR,MATKL,LIFNR,RKDST,MENGE,DELGE,MEINS,NETPR,PEINH,DRDAT,LEWED,SEDAT,LCWED,ITDAT,LOEKE,ELIKZ,EKNAM,EKRNR,BANFN,BNFPO,BELNR,BUZEI
IN10,552410,3,18608880,TPM1,30002348,,37,37,PCS,1,EUR,2023-03-17,2023-03-20,2023-03-20,2023-03-24,2023-03-24, ,x,96574593,59668383,1005030,2,6054148,2
IN10,645769,8,87079640,MPLF,41420829,x,91,91,KG,332,EUR,2023-03-17,2023-03-23,2023-03-23,2023-03-27,2023-03-27, ,x,79848143,61568536,1005080,1,5523990,1
IN10,552410,2,13405872,TPM1,30003467,,44,44,PCS,3,EUR,2023-03-15,,,,,x,x,96574593,59668383,1005025,3,,
IN10,341410,3,11788404,TPM1,30003467,,97,97,PCS,6,EUR,2023-03-17,,,,,x,x,28770259,32307970,1005051,1,,
JP11,914275,2,75227320,UDF3,41420829,x,42,42,PCS,594,EUR,2023-03-13,2023-03-17,2023-03-17,2023-03-21,2023-03-21, ,x,26820541,10869462,1005014,1,9669611,1
JP11,316823,1,25235624,COLA,35101221,x,57,57,L,640,EUR,2023-03-14,2023-03-20,2023-03-24,2023-03-30,2023-03-30, ,x,23246292,64581196,1005020,1,6531116,1
US10,304424,1,85602600,ZUFN,50759436,x,91,91,L,361,EUR,2023-03-13,2023-03-20,2023-03-20,2023-03-27,2023-03-27, ,x,49826393,52814908,1005012,2,8231596,2
US10,451549,4,88797376,MPLF,50759436,x,10,10,PCS,6,EUR,,,,,, ,x,64389461,39024132,1005009,1,,
US10,451549,3,43151008,EDSA,34702906,x,58,58,PCS,554,EUR,2023-03-13,2023-03-20,2023-03-20,2023-03-23,2023-03-23, ,x,64389461,39024132,1005033,1,7913037,1
US10,451549,1,90455123,MPLF,55553693,x,24,24,PCS,437,EUR,2023-03-14,2023-03-20,2023-03-20,2023-03-22,2023-03-22, ,x,64389461,39024132,1005003,1,5989132,1
US10,791064,1,88903632,MPLF,35101221,x,83,83,PCS,880,EUR,2023-03-13,2023-03-14,2023-03-14,2023-03-16,2023-03-16, ,x,56621036,88994835,1005009,2,6342958,1
JP11,509631,2,24567712,COLA,35101221,x,59,59,PCS,689,EUR,2023-03-15,2023-03-21,2023-03-21,2023-03-27,2023-03-27, ,x,62192020,61835271,1005043,1,6531116,2
JP11,509631,1,89034752,MPLF,74997556,x,24,24,PCS,726,EUR,2023-03-17,2023-03-20,2023-03-20,2023-03-23,2023-03-28, ,x,62192020,61835271,1005016,1,6126419,2
JP11,606125,3,10615744,TPM1,30003467,,35,35,PCS,5,EUR,2023-03-16,2023-03-16,2023-03-17,2023-03-23,2023-03-29, ,x,71010072,90546423,1005065,3,6434937,5
JP11,606125,2,11159536,TPM1,30003467,,2,2,PCS,1,EUR,2023-03-15,2023-03-16,2023-03-17,2023-03-23,2023-03-29, ,x,71010072,90546423,1005044,1,6434937,4
JP11,606125,1,28440760,ZELA,32519746,x,78,78,PCS,603,EUR,2023-03-14,2023-03-21,2023-03-21,2023-03-23,2023-03-23, ,x,71010072,90546423,1005016,2,8731460,1
JP11,341834,4,13405872,TPM1,30003467,,54,54,PCS,3,EUR,2023-03-15,2023-03-16,2023-03-17,2023-03-23,2023-03-29, ,x,30655341,16600755,1005045,1,6434937,3
JP11,341834,3,13405872,TPM1,30003467,,74,74,PCS,3,EUR,2023-03-13,2023-03-14,2023-03-14,2023-03-21,2023-03-21, ,x,30655341,16600755,1005031,2,6434937,2
JP11,341834,2,97625203,MPLF,38334498,x,8,8,KG,554,EUR,2023-03-16,2023-03-21,2023-03-21,2023-03-27,2023-03-27, ,x,30655341,16600755,1005031,1,8821060,1
JP11,341834,1,15353960,TPM1,30002348,,45,45,PCS,2,EUR,2023-03-14,2023-03-15,2023-03-15,2023-03-21,2023-03-21, ,x,30655341,16600755,1005013,2,7930735,1
IN10,552410,1,13505536,TPM1,30003467,,6,6,PCS,7,EUR,2023-03-20,2023-03-20,2023-03-20,2023-03-27,2023-04-03, ,x,96574593,59668383,1005022,2,7119569,2
JP11,914275,1,11788404,TPM1,30003467,,18,18,PCS,6,EUR,2023-03-13,2023-03-14,2023-03-14,2023-03-21,2023-03-21, ,x,26820541,10869462,1005013,1,6434937,1
JP11,316823,3,89034752,MPLF,74997556,x,17,17,PCS,726,EUR,2023-03-13,2023-03-14,2023-03-15,2023-03-20,2023-03-20, ,x,23246292,64581196,1005043,2,6126419,1
IN10,341410,4,88346328,MPLF,48114031,x,86,86,KG,602,EUR,2023-03-17,2023-03-24,2023-03-24,2023-03-30,2023-04-05, ,x,28770259,32307970,1005052,2,5470426,3
IN10,226040,2,11159536,TPM1,30003467,,25,25,PCS,1,EUR,2023-03-15,2023-03-16,2023-03-17,2023-03-23,2023-03-29, ,x,47541422,95335860,1005039,1,7119569,1
IN10,205317,2,19474160,COLA,48114031,x,3,3,KG,986,EUR,2023-03-14,2023-03-21,2023-03-21,2023-03-24,2023-03-24, ,x,60935037,65521925,1005002,1,5470426,1
IN10,145020,3,19297648,TPM1,30002348,,89,89,PCS,2,EUR,2023-03-15,2023-03-16,2023-03-17,2023-03-23,2023-03-27, ,x,69491468,95741447,1005039,2,6054148,1
DE10,140512,2,13505536,TPM1,30003467,,83,83,PCS,7,EUR,2023-03-14,2023-03-15,2023-03-16,2023-03-23,2023-03-28, ,x,69491468,20065736,1005036,1,9504673,1
DE10,140512,1,54836888,PYTF,32952574,x,72,72,PCS,389,EUR,2023-03-13,2023-03-16,2023-03-16,2023-03-21,2023-03-21, ,x,69491468,20065736,1005017,1,5530723,1
DE10,185644,5,28440760,ZELA,32519746,x,21,21,PCS,603,EUR,2023-03-13,2023-03-17,2023-03-17,2023-03-21,2023-03-21, ,x,78847324,15618210,1005010,2,7648867,1
DE10,185644,3,87079640,MPLF,41420829,x,31,31,KG,332,EUR,2023-03-13,2023-03-17,2023-03-17,2023-03-21,2023-03-21, ,x,78847324,15618210,1005008,2,6358708,1
DE10,185644,1,51088568,PYTF,78411205,x,28,28,PCS,234,EUR,2023-03-13,2023-03-20,2023-03-20,2023-03-24,2023-03-24, ,x,78847324,15618210,1005006,1,8531637,1
CN10,875533,1,75603272,ZUFN,47017350,x,27,27,PCS,317,EUR,2023-03-17,2023-03-24,2023-03-24,2023-03-30,2023-03-30, ,x,11650206,12521424,1005028,2,5602464,1
CN10,357077,1,88346328,MPLF,48114031,x,18,18,KG,630,EUR,2023-03-13,2023-03-20,2023-03-20,2023-03-23,2023-03-23, ,x,33718300,53737963,1005011,1,5792481,1
CN10,906745,1,10615744,TPM1,30003467,,8,5,PCS,5,EUR,2023-03-17,,,,,x,x,83978021,24642678,1005028,1,,
CN10,906745,2,83863032,ZUFN,78411205,x,19,19,G,263,EUR,2023-03-13,,,,,x,x,83978021,24642678,1005035,2,,
CN10,692604,1,16177764,TPM1,30002348,,87,87,KG,4,EUR,2023-03-15,2023-03-16,2023-03-17,2023-03-23,2023-03-27, ,x,22153844,22189465,1005011,2,9640575,1
CN10,692604,2,28440760,ZELA,32519746,x,96,96,PCS,603,EUR,2023-03-15,2023-03-22,2023-03-22,2023-03-24,2023-03-24, ,x,22153844,22189465,1005035,1,6226902,1
CN10,160014,3,78949416,ZUFN,53847241,x,9,9,PCS,991,EUR,2023-03-17,2023-03-20,2023-03-20,2023-03-22,2023-03-22, ,x,26753334,49784073,1005067,3,5482435,1
CN10,160014,4,54965832,PYTF,74997556,x,57,53,G,77,EUR,2023-03-16,2023-03-22,2023-03-22,2023-03-27,2023-03-27, ,x,26753334,49784073,1005068,2,7951755,1
CN10,160014,5,19297648,TPM1,30002348,,80,80,PCS,2,EUR,2023-03-16,2023-03-17,2023-03-20,2023-03-24,2023-03-24, ,x,26753334,49784073,1005078,1,9640575,2
CN10,306143,1,89034752,MPLF,74997556,x,11,11,PCS,714,EUR,2023-03-23,2023-03-20,2023-03-20,2023-03-23,2023-03-28, ,x,91567310,18849392,1005056,1,7951755,2
DE10,907236,1,13405872,TPM1,30003467,,69,69,PCS,3,EUR,2023-03-15,2023-03-16,2023-03-17,2023-03-23,2023-03-29, ,x,53223692,38699668,1005024,1,9504673,2
DE10,907236,2,16177764,TPM1,30002348,,4,4,KG,4,EUR,2023-03-15,2023-03-16,2023-03-17,2023-03-23,2023-03-27, ,x,53223692,38699668,1005026,1,5058172,1
DE10,907236,3,25398208,COLA,48114031,x,99,99,PCS,504,EUR,2023-03-15,2023-03-22,2023-03-22,2023-03-27,2023-03-27, ,x,53223692,38699668,1005008,1,7443696,1
DE10,122975,1,16177764,TPM1,30002348,,57,57,KG,4,EUR,2023-03-13,2023-03-14,2023-03-14,2023-03-17,2023-03-22, ,x,61568536,28588831,1005047,1,5058172,2
IN10,145020,2,88346328,MPLF,48114031,x,52,52,KG,618,EUR,2023-03-27,2023-03-22,2023-03-22,2023-03-27,2023-03-27,x,x,69491468,95741447,1005025,1,5470426,2
IN10,145020,1,45013285,EDSA,70920548,x,9,9,KG,543,EUR,2023-03-22,2023-03-16,2023-03-16,2023-03-22,2023-03-28, ,x,69491468,95741447,1005021,1,5033251,1
US10,304424,2,16177764,TPM1,30002348,,27,27,KG,4,EUR,2023-03-13,2023-03-14,2023-03-14,2023-03-17,2023-03-22, ,x,49826393,52814908,1005018,2,8079327,1
DE10,298975,2,13505536,TPM1,30003467,,79,79,PCS,7,EUR,2023-03-16,2023-03-17,2023-03-20,2023-03-27,2023-04-03, ,x,11650206,49712938,1005055,1,9504673,7
DE10,534109,7,10615744,TPM1,30003467,,86,86,PCS,5,EUR,2023-03-17,2023-03-20,2023-03-20,2023-03-27,2023-04-03, ,x,75758576,91442486,1005091,1,9504673,6
DE10,534109,6,11788404,TPM1,30003467,,42,42,PCS,6,EUR,2023-03-15,2023-03-16,2023-03-17,2023-03-23,2023-03-29, ,x,75758576,91442486,1005088,1,9504673,5
DE10,534109,5,18608880,TPM1,30002348,,52,52,PCS,1,EUR,2023-03-17,2023-03-20,2023-03-20,2023-03-24,2023-03-24, ,x,75758576,91442486,1005081,3,5058172,5
IN10,226040,1,89034752,MPLF,74997556,x,63,63,PCS,697,EUR,2023-03-16,2023-03-22,2023-03-22,2023-03-27,2023-03-27, ,x,47541422,95335860,1005025,2,6646569,1
DE10,534109,4,16177764,TPM1,30002348,,59,59,KG,4,EUR,2023-03-15,2023-03-16,2023-03-17,2023-03-23,2023-03-27, ,x,75758576,91442486,1005073,3,5058172,4
DE10,534109,1,85602600,ZUFN,50759436,x,56,56,L,361,EUR,2023-03-17,2023-03-24,2023-03-24,2023-03-30,2023-03-30, ,x,75758576,91442486,1005047,2,6147287,1
DE10,430937,4,62792440,UDF3,43088822,x,12,12,PCS,124,EUR,2023-03-14,2023-03-21,2023-03-21,2023-03-23,2023-03-23, ,x,52814908,47304745,1005055,2,6565185,1
DE10,430937,3,93159896,MPLF,32519746,x,15,15,PCS,159,EUR,2023-03-14,2023-03-21,2023-03-21,2023-03-23,2023-03-23, ,x,52814908,47304745,1005032,1,7648867,2
DE10,430937,2,26857600,ZELA,32952574,x,34,34,PCS,453,EUR,2023-03-14,2023-03-20,2023-03-20,2023-03-24,2023-03-24, ,x,52814908,47304745,1005024,3,5530723,2
DE10,430937,1,13505536,TPM1,30003467,,98,98,PCS,7,EUR,2023-03-14,2023-03-15,2023-03-16,2023-03-23,2023-03-28, ,x,52814908,47304745,1005024,2,9504673,4
DE10,122975,3,24567712,COLA,35101221,x,81,81,PCS,713,EUR,2023-03-15,2023-03-21,2023-03-21,2023-03-27,2023-03-27, ,x,61568536,28588831,1005010,1,5663887,1
DE10,122975,2,10615744,TPM1,30003467,,83,83,PCS,5,EUR,2023-03-16,2023-03-17,2023-03-20,2023-03-27,2023-04-03, ,x,61568536,28588831,1005006,2,9504673,3
DE10,534109,3,18608880,TPM1,30002348,,96,96,PCS,1,EUR,2023-03-16,2023-03-17,2023-03-20,2023-03-24,2023-03-24, ,x,75758576,91442486,1005064,2,5058172,3
US10,601457,1,53640144,PYTF,53847241,x,52,52,PCS,488,EUR,,,,,, ,x,40594299,98828930,1005027,1,,
CN10,306143,3,56389144,UDF3,43088822,x,33,33,PCS,119,EUR,2023-03-17,2023-03-24,2023-03-24,2023-03-30,2023-03-30, ,x,91567310,18849392,1005078,2,4953297,1
US10,601457,3,93159896,MPLF,32519746,x,63,63,PCS,159,EUR,2023-03-15,2023-03-22,2023-03-22,2023-03-24,2023-03-24, ,x,40594299,98828930,1005058,1,8815362,1
BR10,740599,3,56831936,UDF3,48114031,x,63,63,G,964,EUR,2023-03-17,2023-03-24,2023-03-24,2023-03-30,2023-04-05, ,x,68930260,66145879,1005085,2,6728547,2
US10,500628,1,25150904,COLA,32519746,x,43,43,PCS,976,EUR,2023-03-24,2023-03-22,2023-03-28,2023-03-31,2023-03-31, ,x,66610435,54469786,1005061,1,8815362,2
US10,271928,7,18608880,TPM1,30002348,,85,85,PCS,1,EUR,2023-03-14,2023-03-15,2023-03-15,2023-03-21,2023-03-21, ,x,27414385,95612378,1005058,2,8079327,3
US10,601457,2,28348643,ZELA,43088822,x,18,18,PCS,684,EUR,2023-03-13,2023-03-20,2023-03-27,2023-03-31,2023-03-31, ,x,40594299,98828930,1005041,1,7446836,1
BR10,415206,3,83863032,ZUFN,78411205,x,44,44,G,258,EUR,2023-03-16,2023-03-23,2023-03-23,2023-03-28,2023-03-28, ,x,70768553,89221635,1005089,2,7223406,1
US10,500628,3,10615744,TPM1,30003467,,46,46,PCS,5,EUR,2023-03-15,2023-03-16,2023-03-17,2023-03-23,2023-03-29, ,x,66610435,54469786,1005069,2,9605369,3
BR10,415206,1,11159536,TPM1,30003467,,32,32,PCS,1,EUR,2023-03-17,2023-03-20,2023-03-20,2023-03-27,2023-04-03, ,x,70768553,89221635,1005048,2,6373223,4
BR10,762417,1,62792440,UDF3,43088822,x,85,85,PCS,124,EUR,2023-03-17,2023-03-24,2023-03-24,2023-03-30,2023-03-30, ,x,53223692,49485597,1005040,2,9201030,1
BR10,984538,1,13405872,TPM1,30003467,,31,29,PCS,3,EUR,2023-03-14,2023-03-15,2023-03-16,2023-03-23,2023-03-28, ,x,45672955,83271922,1005040,1,6373223,3
BR10,565211,4,13405872,TPM1,30003467,,98,98,PCS,3,EUR,2023-03-14,2023-03-15,2023-03-16,2023-03-23,2023-03-28, ,x,99587757,52638817,1005038,1,6373223,2
BR10,565211,3,25398208,COLA,48114031,x,86,86,PCS,504,EUR,2023-03-13,2023-03-20,2023-03-20,2023-03-23,2023-03-23, ,x,99587757,52638817,1005034,2,6728547,1
BR10,415206,2,16177764,TPM1,30002348,,75,75,KG,4,EUR,2023-03-16,2023-03-17,2023-03-20,2023-03-24,2023-03-24, ,x,70768553,89221635,1005057,1,4958294,1
US10,708823,1,58200280,UDF3,50759436,x,34,34,PCS,335,EUR,2023-03-17,2023-03-24,2023-03-24,2023-03-30,2023-03-30, ,x,91698003,19844160,1005096,2,8231596,3
US10,601457,4,48075088,PYTF,53847241,x,28,28,KG,353,EUR,2023-03-15,2023-03-22,2023-03-22,2023-03-28,2023-03-28, ,x,40594299,98828930,1005061,2,5701648,2
BR10,565211,1,97625203,MPLF,38334498,x,98,95,KG,554,EUR,2023-03-14,2023-03-17,2023-03-17,2023-03-23,2023-03-29, ,x,99587757,52638817,1005004,1,7318726,1
BR10,994296,1,13505536,TPM1,30003467,,41,41,PCS,7,EUR,2023-03-13,2023-03-14,2023-03-14,2023-03-21,2023-03-21, ,x,95612378,23414890,1005034,3,6373223,1
US10,271928,6,64963528,UDF3,34702906,x,96,96,KG,702,EUR,2023-03-14,2023-03-20,2023-03-20,2023-03-23,2023-03-23, ,x,27414385,95612378,1005053,1,7913037,2
US10,271928,5,32003616,ZELA,32952574,x,40,40,L,231,EUR,2023-03-16,2023-03-22,2023-03-22,2023-03-27,2023-03-27, ,x,27414385,95612378,1005042,1,8354534,1
US10,271928,4,13505536,TPM1,30003467,,31,31,PCS,7,EUR,2023-03-16,2023-03-17,2023-03-20,2023-03-27,2023-04-03, ,x,27414385,95612378,1005029,1,9605369,2
US10,271928,3,18608880,TPM1,30002348,,15,15,PCS,1,EUR,2023-03-16,2023-03-17,2023-03-20,2023-03-24,2023-03-24, ,x,27414385,95612378,1005023,1,8079327,2
US10,601457,5,87079640,MPLF,41420829,x,30,30,KG,332,EUR,2023-03-16,2023-03-22,2023-03-22,2023-03-24,2023-03-24, ,x,40594299,98828930,1005063,1,5770842,1
US10,271928,1,88346328,MPLF,48114031,x,93,93,KG,587,EUR,2023-03-16,2023-03-23,2023-03-23,2023-03-28,2023-03-28,x,x,27414385,95612378,1005012,1,5482886,1
US10,271928,2,11788404,TPM1,30003467,,91,91,PCS,6,EUR,2023-03-14,2023-03-15,2023-03-16,2023-03-23,2023-03-28, ,x,27414385,95612378,1005018,1,9605369,1
BR10,565211,2,25235624,COLA,35101221,x,66,66,L,640,EUR,2023-03-14,2023-03-20,2023-03-24,2023-03-30,2023-03-30, ,x,99587757,52638817,1005034,1,5358433,1
US10,840245,3,19297648,TPM1,30002348,,19,19,PCS,2,EUR,2023-03-23,2023-03-24,2023-03-24,2023-03-30,2023-04-03, ,x,80969552,95329307,1005154,2,8324289,5
US10,316266,3,76304544,ZUFN,32519746,x,67,67,PCS,700,EUR,,,,,, ,x,20704567,48760690,1005136,3,,
US10,316266,5,15353960,TPM1,30002348,,68,68,PCS,2,EUR,2023-03-24,2023-03-27,2023-03-27,2023-03-31,2023-04-06, ,x,20704567,48760690,1005154,1,8324289,6
DE10,589861,5,88797376,MPLF,50759436,x,83,83,PCS,6,EUR,2023-03-24,2023-03-31,2023-03-31,2023-04-07,2023-04-07, ,x,44702373,51723487,1005143,2,6519703,2
DE10,842565,3,10615744,TPM1,30003467,,56,56,PCS,5,EUR,2023-03-20,2023-03-21,2023-03-22,2023-03-29,2023-04-03, ,x,28588831,87443257,1005087,1,5763939,3
DE10,360575,1,58890322,UDF3,34702906,x,46,46,PCS,813,EUR,2023-03-23,2023-03-30,2023-03-30,2023-04-04,2023-04-04, ,x,25639195,56516420,1005115,1,6150026,1
DE10,199755,2,11159536,TPM1,30003467,,57,57,PCS,1,EUR,2023-03-23,2023-03-24,2023-03-24,2023-03-30,2023-03-30, ,x,72822233,86205557,1005092,2,5763939,5
DE10,896930,2,17231232,TPM1,30002348,,35,35,PCS,5,EUR,2023-03-22,2023-03-23,2023-03-24,2023-03-30,2023-04-03, ,x,61117092,60935037,1005087,2,9300022,4
DE10,896930,1,48705128,PYTF,50759436,x,64,64,KG,799,EUR,2023-03-22,2023-03-28,2023-03-28,2023-04-04,2023-04-04, ,x,61117092,60935037,1005073,2,6519703,1
DE10,706201,3,37141432,EDSA,78411205,x,88,88,PCS,474,EUR,2023-03-20,2023-03-27,2023-03-27,2023-03-31,2023-03-31, ,x,11643605,59991942,1005100,1,5271279,1
DE10,706201,2,17231232,TPM1,30002348,,57,57,PCS,5,EUR,2023-03-23,2023-03-24,2023-03-24,2023-03-30,2023-04-03, ,x,11643605,59991942,1005091,2,9300022,3
DE10,706201,1,13405872,TPM1,30003467,,93,93,PCS,3,EUR,2023-03-22,2023-03-23,2023-03-23,2023-03-30,2023-03-30, ,x,11643605,59991942,1005081,2,5763939,4
DE10,589861,1,16177764,TPM1,30002348,,21,21,KG,4,EUR,2023-03-24,2023-03-27,2023-03-27,2023-03-31,2023-04-06, ,x,44702373,51723487,1005111,2,9300022,6
DE10,199755,1,15353960,TPM1,30002348,,71,71,PCS,2,EUR,2023-03-22,2023-03-23,2023-03-24,2023-03-30,2023-04-03, ,x,72822233,86205557,1005135,1,9300022,5
US10,824055,1,88346328,MPLF,48114031,x,86,86,KG,618,EUR,2023-03-24,2023-03-31,2023-03-31,2023-04-05,2023-04-05, ,x,77639249,45837989,1005108,1,8909663,3
US10,824055,7,45013285,EDSA,70920548,x,31,34,KG,543,EUR,2023-03-22,2023-03-27,2023-03-27,2023-03-31,2023-03-31, ,x,77639249,45837989,1005059,1,9737919,1
US10,156136,5,89034752,MPLF,74997556,x,10,10,PCS,726,EUR,2023-03-22,2023-03-29,2023-03-29,2023-04-03,2023-04-06, ,x,70002506,83271922,1005015,1,6990185,1
US10,156136,6,69909608,UDF3,73419740,x,9,9,PCS,990,EUR,,,,,, ,x,70002506,83271922,1005090,2,,
US10,156136,7,77128608,ZUFN,47017350,x,12,12,PCS,606,EUR,2023-03-23,2023-03-30,2023-03-30,2023-04-04,2023-04-04, ,x,70002506,83271922,1005090,3,6654885,2
IN10,645769,4,16177764,TPM1,30002348,,15,15,KG,4,EUR,2023-03-21,2023-03-22,2023-03-22,2023-03-27,2023-03-27, ,x,79848143,61568536,1005052,3,9361021,2
US10,156136,8,58890322,UDF3,34702906,x,26,26,PCS,813,EUR,2023-03-21,2023-03-27,2023-03-27,2023-03-31,2023-03-31, ,x,70002506,83271922,1005099,2,5527695,1
IN10,645769,2,75904608,ZUFN,70920548,x,19,19,PCS,543,EUR,2023-03-20,2023-03-24,2023-03-24,2023-03-28,2023-03-28, ,x,79848143,61568536,1005051,2,7680842,1
US10,824055,9,24242928,COLA,34702906,x,91,91,KG,321,EUR,2023-03-24,2023-03-31,2023-03-31,2023-04-06,2023-04-06, ,x,77639249,45837989,1005069,1,5527695,2
IN10,645769,1,97625203,MPLF,38334498,x,73,73,KG,556,EUR,2023-03-20,,,,,x,x,79848143,61568536,1005021,2,,
IN10,258933,4,17231232,TPM1,30002348,,74,74,PCS,5,EUR,2023-03-20,2023-03-21,2023-03-22,2023-03-27,2023-03-27, ,x,47541422,53251766,1005076,2,9361021,1
DE10,842565,2,69579592,UDF3,49330617,x,57,57,L,124,EUR,2023-03-21,2023-03-27,2023-03-27,2023-03-31,2023-03-31, ,x,28588831,87443257,1005081,4,9705305,1
IN10,258933,2,49790248,PYTF,47017350,x,100,100,PCS,700,EUR,2023-03-27,2023-03-27,2023-04-03,2023-04-07,2023-04-07, ,x,47541422,53251766,1005050,1,8588822,1
US10,824055,2,19474160,COLA,48114031,x,70,70,KG,986,EUR,2023-03-22,2023-03-29,2023-04-05,2023-04-10,2023-04-10, ,x,77639249,45837989,1005118,1,8909663,4
US10,824055,4,19297648,TPM1,30002348,,42,42,PCS,2,EUR,2023-03-24,2023-03-27,2023-03-27,2023-03-31,2023-04-06, ,x,77639249,45837989,1005128,2,8324289,4
US10,824055,5,89034752,MPLF,74997556,x,8,8,PCS,726,EUR,2023-03-22,2023-03-29,2023-03-29,2023-04-03,2023-04-06, ,x,77639249,45837989,1005139,1,6990185,2
