WERKS,BANFN,BNFPO,MATNR,MATKL,MENGE,MEINS,NETPR,PEINH,BADAT,FRGDT,LOEKZ,ERNAM,PERNR,EBELN,EBELP,LAND1
BR10,1000094,2,28440760,ZELA,19,PCS,603,EUR,2019-01-28,2019-02-01, ,22853503,40138709,721765,1,BR
BR10,1000095,2,75603272,ZUFN,31,PCS,320,EUR,2019-01-28,2019-01-31, ,87519661,24642678,448584,1,BR
BR10,1000079,1,89034752,MPLF,35,PCS,726,EUR,2019-02-01,2019-02-11, ,11553472,51619782,408896,1,BR
DE10,1000080,4,78949416,ZUFN,1,PCS,991,EUR,2019-01-25,2019-01-30, ,55463176,65550769,597012,2,DE
US10,1000126,3,78949416,ZUFN,48,PCS,991,EUR,2019-02-05,2019-02-11, ,72482110,88510487,806024,3,US
US10,1000128,1,86834912,MPLF,50,PCS,381,EUR,2019-02-06,2019-02-08, ,32683983,81552979,750979,4,US
US10,1000126,1,43151008,EDSA,98,PCS,554,EUR,2019-02-05,2019-02-11, ,72482110,23329589,806024,1,US
JP11,1000104,2,32003616,ZELA,81,L,231,EUR,2019-01-30,2019-02-06, ,35507382,49784073,957974,2,JP
US10,1000116,2,83863032,ZUFN,44,G,263,EUR,2019-02-04,2019-02-08, ,66441646,88510487,750979,2,US
US10,1000111,3,28440760,ZELA,90,PCS,603,EUR,2019-01-31,2019-02-08, ,70694805,56417381,750979,1,US
CN10,1000136,3,75227320,UDF3,87,PCS,594,EUR,2019-02-08,2019-02-12,x,82920773,71417158,247630,2,CN
BR10,1000135,1,53640144,PYTF,66,PCS,488,EUR,2019-02-08,2019-02-12,x,11553472,51619782,329073,2,BR
BR10,1000120,1,55226864,PYTF,24,PCS,520,EUR,2019-02-04,2019-02-12, ,18407205,51619782,329073,1,BR
BR10,1000132,1,22818912,COLA,60,KG,636,EUR,2019-02-07,2019-02-08, ,83371295,53251766,518504,1,BR
BR10,1000120,2,83863032,ZUFN,11,G,263,EUR,2019-02-04,2019-02-07, ,18407205,24642678,178789,1,BR
CN10,1000131,5,75990376,ZUFN,54,PCS,499,EUR,2019-02-15,2019-02-25, ,76054846,20837115,398212,1,CN
IN10,1000123,2,26857600,ZELA,38,PCS,453,EUR,2019-02-04,2019-02-11, ,24448207,44488029,542085,3,IN
CN10,1000119,1,88903632,MPLF,94,PCS,880,EUR,2019-02-04,2019-02-06, ,22939187,20837115,595261,3,CN
IN10,1000110,3,83863032,ZUFN,35,G,263,EUR,2019-02-05,2019-02-13, ,60935037,44488029,940088,1,IN
CN10,1000131,2,86457056,MPLF,95,PCS,159,EUR,2019-02-06,2019-02-08,x,76054846,20837115,996569,3,CN
CN10,1000112,2,62792440,UDF3,18,PCS,124,EUR,2019-01-31,2019-02-07, ,97846446,71417158,372152,1,CN
IN10,1000108,1,90455123,MPLF,99,PCS,437,EUR,2019-01-30,2019-02-07, ,75008634,49826393,210861,1,IN
DE10,1000109,1,82207928,ZUFN,62,KG,441,EUR,2019-01-31,2019-02-06, ,13748089,65550769,850635,1,DE
CN10,1000112,1,25150904,COLA,56,PCS,976,EUR,2019-01-31,2019-02-06, ,97846446,48148862,595261,1,CN
IN10,1000121,2,32003616,ZELA,97,L,231,EUR,2019-02-04,2019-02-15,x,23818469,70768553,878392,1,IN
US10,1000151,1,86662444,MPLF,65,KG,447,EUR,2019-02-14,2019-02-18, ,34037891,81552979,222604,1,US
US10,1000163,2,89034752,MPLF,70,PCS,726,EUR,2019-02-18,2019-02-21, ,61569751,81552979,408389,1,US
JP11,1000144,1,77128608,ZUFN,43,PCS,606,EUR,2019-02-12,2019-02-15,x,14028409,92217720,790123,2,JP
BR10,1000164,2,88346328,MPLF,9,KG,618,EUR,2019-02-18,2019-02-19, ,99614307,32008687,265304,2,BR
DE10,1000147,2,98151444,MPLF,73,PCS,916,EUR,2019-02-13,2019-02-18, ,87766849,47656838,666747,6,DE
IN10,1000130,1,25398208,COLA,24,PCS,504,EUR,2019-02-06,2019-02-12, ,76772728,30090592,814370,1,IN
DE10,1000133,1,20667944,COLA,1,KG,463,EUR,2019-02-07,2019-02-12, ,83839016,63821277,570572,1,DE
CN10,1000136,1,90455123,MPLF,70,PCS,437,EUR,2019-02-08,2019-02-13,x,82920773,20837115,473098,1,CN
DE10,1000147,1,86834912,MPLF,24,PCS,381,EUR,2019-02-13,2019-02-18, ,87766849,47656838,666747,5,DE
CN10,1000149,3,79697072,ZUFN,52,PCS,710,EUR,2019-02-14,2019-02-19, ,96959015,23344986,211456,2,CN
CN10,1000136,2,51088568,PYTF,14,PCS,234,EUR,2019-02-08,2019-02-14, ,82920773,48148862,398212,2,CN
DE10,1000141,1,87079640,MPLF,83,KG,332,EUR,2019-02-11,2019-02-18, ,94604082,47656838,666747,2,DE
DE10,1000140,1,43151008,EDSA,46,PCS,554,EUR,2019-02-11,2019-02-18, ,35471099,58569539,666747,1,DE
DE10,1000139,4,69909608,UDF3,99,PCS,990,EUR,2019-02-11,2019-02-13, ,91370480,59321219,161725,2,DE
DE10,1000139,1,98147568,MPLF,84,L,996,EUR,2019-02-11,2019-02-15, ,91370480,47656838,964593,1,DE
DE10,1000175,1,40378320,EDSA,55,PCS,605,EUR,2019-02-21,2019-02-27, ,39937440,58569539,568392,2,DE
US10,1000171,1,19474160,COLA,85,KG,986,EUR,2019-02-20,2019-02-25, ,61569751,22179495,196350,3,US
US10,1000179,1,28348643,ZELA,94,PCS,684,EUR,2019-02-22,2019-02-27,x,17320878,56417381,683838,2,US
DE10,1000143,1,25398208,COLA,28,PCS,504,EUR,2019-02-12,2019-02-19, ,49781629,63821277,695207,2,DE
US10,1000163,3,54965832,PYTF,14,G,77,EUR,2019-02-18,2019-02-25, ,61569751,43449637,196350,2,US
US10,1000148,1,25398208,COLA,64,PCS,504,EUR,2019-02-14,2019-02-20, ,47570626,22179495,500717,1,US
DE10,1000153,2,88346328,MPLF,47,KG,618,EUR,2019-02-15,2019-02-25, ,27714088,47656838,437517,1,DE
DE10,1000154,3,26857600,ZELA,41,PCS,453,EUR,2019-02-15,2019-02-22, ,20466918,79833202,256382,1,DE
DE10,1000170,1,19474160,COLA,39,KG,986,EUR,2019-02-20,2019-02-21, ,27921440,63821277,449257,4,DE
DE10,1000153,1,86834912,MPLF,68,PCS,381,EUR,2019-02-15,2019-02-21, ,27714088,47656838,449257,1,DE
US10,1000163,1,88797376,MPLF,80,PCS,6,EUR,2019-02-18,2019-02-22, ,61569751,81552979,425118,5,US
US10,1000161,2,49790248,PYTF,87,PCS,700,EUR,2019-02-18,2019-02-22, ,45379454,43449637,425118,4,US
US10,1000161,1,45841032,EDSA,39,PCS,603,EUR,2019-02-18,2019-02-22, ,45379454,43449637,425118,3,US
US10,1000158,1,98151444,MPLF,7,PCS,916,EUR,2019-02-18,2019-02-22, ,45333871,81552979,425118,2,US
DE10,1000154,1,86662444,MPLF,7,KG,447,EUR,2019-02-15,2019-02-21, ,20466918,47656838,449257,2,DE
DE10,1000160,2,29156488,ZELA,23,PCS,374,EUR,2019-02-18,2019-02-25, ,15571420,79833202,437517,2,DE
DE10,1000175,2,88797376,MPLF,21,PCS,6,EUR,2019-02-21,2019-02-22, ,39937440,47656838,256382,2,DE
CN10,1000192,1,87079640,MPLF,19,KG,332,EUR,2019-02-25,2019-02-28, ,73463213,20837115,238888,2,CN
IN10,1000172,1,48075088,PYTF,22,KG,353,EUR,2019-02-21,2019-02-25, ,11643605,87940829,676338,2,IN
CN10,1000167,1,24567712,COLA,23,PCS,689,EUR,2019-02-20,2019-02-28, ,85564101,93048219,238888,1,CN
CN10,1000156,1,54753968,PYTF,21,PCS,13,EUR,2019-02-18,2019-02-26, ,96959015,12948061,946546,1,CN
CN10,1000167,2,89034752,MPLF,4,PCS,726,EUR,2019-02-20,2019-02-22, ,85564101,20837115,434928,1,CN
CN10,1000149,1,25398208,COLA,32,PCS,504,EUR,2019-02-14,2019-02-21, ,96959015,23246292,119777,2,CN
IN10,1000166,1,19474160,COLA,15,KG,986,EUR,2019-02-25,2019-03-04, ,78847324,30090592,171204,1,IN
IN10,1000168,3,47767912,PYTF,50,PCS,915,EUR,2019-02-20,2019-02-25,x,52038534,87940829,676338,1,IN
IN10,1000187,1,25235624,COLA,13,L,640,EUR,2019-02-25,2019-02-27,x,52038534,30090592,638115,3,IN
IN10,1000183,1,25235624,COLA,49,L,640,EUR,2019-02-25,2019-02-27, ,30695145,30090592,638115,2,IN
IN10,1000186,1,35470001,EDSA,76,KG,235,EUR,2019-02-25,2019-02-26,x,69707819,30090592,336562,3,IN
BR10,1000152,1,25398208,COLA,15,PCS,504,EUR,2019-02-15,2019-02-26, ,48670636,53251766,880326,1,BR
IN10,1000176,1,43678400,EDSA,95,PCS,115,EUR,2019-02-21,2019-02-25, ,99066604,86162838,676338,3,IN
BR10,1000164,1,20667944,COLA,36,KG,463,EUR,2019-02-18,2019-02-22, ,99614307,53251766,768332,3,BR
JP11,1000165,2,77128608,ZUFN,85,PCS,606,EUR,2019-02-19,2019-02-27, ,99118836,92217720,249197,1,JP
BR10,1000155,1,79697072,ZUFN,92,PCS,710,EUR,2019-02-18,2019-02-22, ,45837989,24642678,768332,1,BR
BR10,1000159,2,67221888,UDF3,86,KG,193,EUR,2019-02-18,2019-02-22, ,70747659,89359211,768332,2,BR
JP11,1000165,1,22818912,COLA,60,KG,636,EUR,2019-02-19,2019-02-25,x,99118836,33607135,750150,1,JP
US10,1000157,1,98151444,MPLF,14,PCS,916,EUR,2019-02-18,2019-02-27,x,54263514,81552979,683838,1,US
US10,1000202,1,54753968,PYTF,13,PCS,13,EUR,2019-03-01,2019-03-06, ,15775531,43449637,963222,1,US
US10,1000190,1,76304544,ZUFN,14,PCS,692,EUR,2019-02-25,2019-02-26, ,87596201,88510487,309369,2,US
US10,1000194,3,26709208,ZELA,7,KG,229,EUR,2019-02-26,2019-03-05, ,61569751,56417381,418064,1,US
US10,1000194,1,89034752,MPLF,31,PCS,726,EUR,2019-02-26,2019-03-04, ,61569751,81552979,751515,1,US
US10,1000203,3,26857600,ZELA,47,PCS,453,EUR,2019-03-01,2019-03-05, ,35396553,56417381,418064,4,US
US10,1000202,5,75603272,ZUFN,51,PCS,320,EUR,2019-03-01,2019-03-05, ,15775531,88510487,418064,2,US
DE10,1000188,3,82207928,ZUFN,31,KG,441,EUR,2019-02-25,2019-03-04, ,94604082,65550769,282732,1,DE
DE10,1000188,2,79697072,ZUFN,21,PCS,710,EUR,2019-02-25,2019-03-01, ,94604082,65550769,958617,1,DE
DE10,1000188,1,87079640,MPLF,7,KG,332,EUR,2019-02-25,2019-02-28, ,94604082,47656838,591634,2,DE
JP11,1000207,1,86457056,MPLF,46,PCS,159,EUR,2019-03-04,2019-03-06, ,28770259,40601709,348383,1,JP
JP11,1000178,1,45013285,EDSA,98,KG,543,EUR,2019-02-22,2019-03-05, ,87700938,59231227,813142,1,JP
JP11,1000181,1,97625203,MPLF,27,KG,554,EUR,2019-02-22,2019-02-27,x,99741049,40601709,249197,2,JP
CN10,1000192,2,93159896,MPLF,85,PCS,159,EUR,2019-02-25,2019-02-28, ,73463213,20837115,238888,3,CN
IN10,1000201,1,98147568,MPLF,27,L,996,EUR,2019-03-01,2019-03-06, ,87443257,49826393,321061,3,IN
US10,1000215,3,71374072,UDF3,41,PCS,293,EUR,2019-03-04,2019-03-06, ,50831348,40424932,963222,3,US
IN10,1000197,1,58200280,UDF3,88,PCS,335,EUR,2019-02-26,2019-03-01,x,11643605,98019339,177138,2,IN
IN10,1000187,3,84480424,ZUFN,94,G,136,EUR,2019-03-06,2019-03-18, ,52038534,44488029,177138,1,IN
IN10,1000186,2,49991456,PYTF,5,PCS,733,EUR,2019-02-25,2019-02-28, ,69707819,87940829,698218,3,IN
IN10,1000183,2,45841032,EDSA,94,PCS,603,EUR,2019-02-25,2019-02-28,x,30695145,86162838,698218,2,IN
IN10,1000168,1,19474160,COLA,38,KG,986,EUR,2019-02-20,2019-02-28, ,52038534,30090592,698218,1,IN
IN10,1000187,2,98151444,MPLF,1,PCS,916,EUR,2019-03-04,2019-03-12, ,52038534,49826393,638115,4,IN
IN10,1000205,1,19474160,COLA,16,KG,986,EUR,2019-03-01,2019-03-11, ,11866304,44488029,211194,1,IN
IN10,1000213,1,44409248,EDSA,92,L,267,EUR,2019-03-12,2019-03-18, ,69924358,49826393,211194,2,IN
IN10,1000206,1,26230416,ZELA,25,PCS,190,EUR,2019-03-04,2019-03-12, ,41723896,70768553,383508,1,IN
IN10,1000231,1,48075088,PYTF,70,KG,353,EUR,2019-03-07,2019-03-12, ,27204519,87940829,383508,2,IN
IN10,1000241,3,79697072,ZUFN,91,PCS,710,EUR,2019-03-12,2019-03-13, ,69707819,44488029,856547,4,IN
CN10,1000239,2,88903632,MPLF,47,PCS,880,EUR,2019-03-11,2019-03-13, ,27775137,20837115,313395,2,CN
BR10,1000226,2,56389144,UDF3,61,PCS,119,EUR,2019-03-06,2019-03-07, ,83371295,89359211,503626,1,BR
IN10,1000232,2,75603272,ZUFN,45,PCS,320,EUR,2019-03-07,2019-03-08, ,49712938,44488029,360218,3,IN
US10,1000202,2,55226864,PYTF,86,PCS,520,EUR,2019-03-01,2019-03-07, ,15775531,43449637,597663,2,US
US10,1000203,1,50191792,PYTF,22,KG,545,EUR,2019-03-01,2019-03-07, ,35396553,43449637,597663,3,US
US10,1000212,1,86662444,MPLF,71,KG,447,EUR,2019-03-04,2019-03-07, ,28957791,81552979,597663,4,US
US10,1000215,1,89034752,MPLF,94,PCS,726,EUR,2019-03-04,2019-03-07, ,50831348,81552979,597663,5,US
US10,1000216,2,28348643,ZELA,86,PCS,684,EUR,2019-03-04,2019-03-07, ,99404892,56417381,597663,7,US
IN10,1000218,1,88346328,MPLF,92,KG,618,EUR,2019-03-05,2019-03-08, ,42978120,44155404,360218,2,IN
CN10,1000208,1,88903632,MPLF,59,PCS,880,EUR,2019-03-04,2019-03-08, ,18941594,20837115,852777,1,CN
DE10,1000229,1,25235624,COLA,26,L,640,EUR,2019-03-07,2019-03-13, ,64801529,63821277,457260,1,DE
DE10,1000229,3,82809960,ZUFN,1,L,435,EUR,2019-03-07,2019-03-12, ,64801529,65550769,590706,6,DE
DE10,1000227,2,67221888,UDF3,78,KG,193,EUR,2019-03-06,2019-03-12, ,42969939,59321219,590706,4,DE
DE10,1000219,2,48248768,PYTF,67,PCS,693,EUR,2019-03-05,2019-03-12, ,51707704,63821277,590706,2,DE
CN10,1000224,2,78949416,ZUFN,41,PCS,991,EUR,2019-03-06,2019-03-12, ,17850787,23344986,594796,1,CN
