WERKS,BELNR,BUZEI,MATNR,MATKL,MENGE,MEINS,NETPR,PEINH,EBELN,EBELP
IN10,8393693,1,86457056,MPLF,78,PCS,159,EUR,416457,1
BR10,6126707,2,19297648,TPM1,5,PCS,2,EUR,756237,3
IN10,8539745,1,19297648,TPM1,90,PCS,2,EUR,841647,1
IN10,7225549,1,90455123,MPLF,44,PCS,437,EUR,841647,2
DE10,5762090,1,24567712,COLA,4,PCS,689,EUR,383407,1
DE10,9526577,1,32645344,EDSA,8,PCS,845,EUR,895624,1
DE10,8107959,1,22818912,COLA,94,KG,636,EUR,895624,2
US10,6474115,1,45013285,EDSA,58,KG,543,EUR,347658,2
CN10,9165416,1,11788404,TPM1,89,PCS,6,EUR,884627,1
CN10,9165416,2,13505536,TPM1,10,PCS,7,EUR,675099,1
CN10,9165416,3,11788404,TPM1,79,PCS,6,EUR,675099,2
CN10,7890208,2,15353960,TPM1,10,PCS,2,EUR,675099,3
IN10,6957885,1,86662444,MPLF,73,KG,447,EUR,126433,1
CN10,7890208,3,15353960,TPM1,57,PCS,2,EUR,454895,2
IN10,5779099,1,97625203,MPLF,54,KG,554,EUR,244595,1
CN10,7890208,4,17231232,TPM1,72,PCS,5,EUR,365102,2
IN10,5649200,1,15353960,TPM1,76,PCS,2,EUR,339696,3
IN10,7380854,1,10615744,TPM1,12,PCS,5,EUR,339696,2
CN10,7332674,1,24242928,COLA,61,KG,321,EUR,815616,1
IN10,8692296,1,86457056,MPLF,42,PCS,159,EUR,339696,1
DE10,8163795,1,48248768,PYTF,55,PCS,693,EUR,760821,2
IN10,5649200,2,15353960,TPM1,60,PCS,2,EUR,732015,2
BR10,7142459,1,86834912,MPLF,44,PCS,381,EUR,489716,1
DE10,8589045,2,19297648,TPM1,92,PCS,2,EUR,279442,2
DE10,9358481,1,13405872,TPM1,51,PCS,3,EUR,279442,1
DE10,9375600,1,86834912,MPLF,9,PCS,381,EUR,261376,2
DE10,5281257,1,19816724,COLA,8,PCS,521,EUR,261376,1
DE10,8589045,1,19297648,TPM1,58,PCS,2,EUR,383407,2
US10,6700709,1,48075088,PYTF,61,KG,353,EUR,778340,1
US10,6938608,1,17231232,TPM1,62,PCS,5,EUR,717681,3
US10,9665569,1,88346328,MPLF,89,KG,618,EUR,717681,2
US10,6661813,1,11159536,TPM1,84,PCS,1,EUR,717681,1
BR10,6149547,3,10615744,TPM1,52,PCS,5,EUR,756237,2
BR10,8891905,1,19297648,TPM1,81,PCS,2,EUR,756237,1
JP11,7504748,1,77128608,ZUFN,64,PCS,606,EUR,242141,1
JP11,9722039,1,13405872,TPM1,19,PCS,3,EUR,413357,2
JP11,8642125,1,44074088,EDSA,43,PCS,52,EUR,626066,1
BR10,9445875,1,75227320,UDF3,10,PCS,594,EUR,921217,3
BR10,6149547,2,11788404,TPM1,37,PCS,6,EUR,921217,2
BR10,6149547,1,10615744,TPM1,40,PCS,5,EUR,921217,1
BR10,6149547,4,10615744,TPM1,43,PCS,5,EUR,702224,2
BR10,6539865,1,88903632,MPLF,3,PCS,880,EUR,702224,1
CN10,7890208,1,16177764,TPM1,78,KG,4,EUR,852927,1
DE10,7986182,1,24567712,COLA,39,PCS,689,EUR,404413,1
US10,5099274,3,13505536,TPM1,1,PCS,7,EUR,556540,3
IN10,9323606,2,43678400,EDSA,54,PCS,115,EUR,560374,2
US10,7736907,2,18608880,TPM1,30,PCS,1,EUR,556540,2
US10,5099274,2,10615744,TPM1,74,PCS,5,EUR,556540,1
US10,6221836,1,55226864,PYTF,42,PCS,520,EUR,802940,1
US10,5099274,1,11159536,TPM1,11,PCS,1,EUR,999376,3
US10,7736907,1,16177764,TPM1,2,KG,4,EUR,999376,2
US10,5292641,1,85602600,ZUFN,28,L,361,EUR,999376,1
JP11,5212640,1,15353960,TPM1,43,PCS,2,EUR,195326,4
JP11,8239102,1,87079640,MPLF,62,KG,332,EUR,195326,3
JP11,6632580,1,28148584,ZELA,17,PCS,778,EUR,177017,1
IN10,9323606,1,32069368,ZELA,72,PCS,428,EUR,732015,1
DE10,6515623,2,86662444,MPLF,51,KG,447,EUR,294346,1
IN10,7500089,2,71374072,UDF3,50,PCS,293,EUR,924309,2
IN10,7263415,2,15353960,TPM1,31,PCS,2,EUR,265886,4
IN10,7500089,1,24242928,COLA,64,KG,321,EUR,265886,3
IN10,8003318,2,10615744,TPM1,6,PCS,5,EUR,265886,2
IN10,7736685,1,86662444,MPLF,40,KG,447,EUR,865452,1
IN10,6373903,1,75603272,ZUFN,28,PCS,324,EUR,440944,2
IN10,7263415,1,18608880,TPM1,96,PCS,1,EUR,440944,1
IN10,5721775,1,84480424,ZUFN,77,G,136,EUR,175806,1
IN10,9323606,3,88346328,MPLF,6,KG,618,EUR,440944,3
DE10,6515623,1,48705128,PYTF,72,KG,799,EUR,760821,1
CN10,7964153,2,25235624,COLA,84,L,640,EUR,512756,1
CN10,8922742,1,10615744,TPM1,49,PCS,5,EUR,154539,3
CN10,7941241,4,17231232,TPM1,51,PCS,5,EUR,154539,2
CN10,7941241,3,15353960,TPM1,8,PCS,2,EUR,154539,1
CN10,6875409,1,85602600,ZUFN,2,L,361,EUR,605373,3
CN10,7941241,2,18608880,TPM1,51,PCS,1,EUR,605373,2
CN10,5010517,1,32071024,ZELA,10,KG,737,EUR,605373,1
CN10,7964153,1,24567712,COLA,97,PCS,689,EUR,365102,1
CN10,7941241,1,18608880,TPM1,71,PCS,1,EUR,454895,3
BR10,8095887,1,82809960,ZUFN,23,L,435,EUR,229730,1
BR10,9640859,1,16177764,TPM1,39,KG,4,EUR,347919,1
CN10,8074959,1,75904608,ZUFN,90,PCS,544,EUR,162550,1
CN10,6875409,2,22818912,COLA,71,KG,636,EUR,116528,1
DE10,5284359,1,19474160,COLA,75,KG,986,EUR,760821,3
DE10,8817298,1,55226864,PYTF,26,PCS,520,EUR,267927,1
BR10,5549488,3,11788404,TPM1,45,PCS,6,EUR,480789,1
CN10,7240386,1,87079640,MPLF,3,KG,332,EUR,839400,1
CN10,5809441,2,13505536,TPM1,9,PCS,7,EUR,843896,4
CN10,6571547,1,86457056,MPLF,56,PCS,164,EUR,843896,2
CN10,6066730,1,85602600,ZUFN,63,L,361,EUR,843896,1
JP11,7859428,1,75603272,ZUFN,80,PCS,320,EUR,659159,5
JP11,8224317,2,17231232,TPM1,34,PCS,5,EUR,659159,4
JP11,8224317,1,18608880,TPM1,93,PCS,1,EUR,659159,3
JP11,5402439,1,98151444,MPLF,84,PCS,916,EUR,659159,1
JP11,5187346,1,45013285,EDSA,34,KG,543,EUR,624341,1
JP11,9257079,1,11788404,TPM1,3,PCS,6,EUR,195326,2
BR10,5549488,4,11788404,TPM1,15,PCS,6,EUR,480789,2
JP11,8590814,2,25235624,COLA,13,L,640,EUR,957974,3
CN10,9471759,1,18608880,TPM1,50,PCS,1,EUR,595261,2
IN10,8731056,5,13405872,TPM1,64,PCS,3,EUR,856661,2
IN10,5585176,2,45162744,EDSA,64,PCS,520,EUR,856661,1
IN10,7604482,1,86834912,MPLF,9,PCS,381,EUR,869750,5
IN10,8045115,1,20667944,COLA,53,KG,463,EUR,869750,3
IN10,7996486,3,15353960,TPM1,50,PCS,2,EUR,869750,2
IN10,6392043,1,32003616,ZELA,35,L,241,EUR,869750,1
JP11,5402439,2,21595928,COLA,25,PCS,83,EUR,423874,1
IN10,8731056,3,11159536,TPM1,93,PCS,1,EUR,260850,3
IN10,8731056,2,11788404,TPM1,4,PCS,6,EUR,260850,1
IN10,7996486,2,19297648,TPM1,4,PCS,2,EUR,303747,4
IN10,7996486,4,18608880,TPM1,87,PCS,1,EUR,210861,2
IN10,8731056,1,10615744,TPM1,50,PCS,5,EUR,303747,2
IN10,5585176,1,26230416,ZELA,6,PCS,190,EUR,303747,1
IN10,8731286,1,44409248,EDSA,88,L,266,EUR,924309,1
CN10,6568067,1,24242928,COLA,25,KG,321,EUR,372152,2
IN10,5217787,1,69579592,UDF3,36,L,119,EUR,260850,2
CN10,5809441,1,11159536,TPM1,14,PCS,1,EUR,512756,2
BR10,8467406,1,88346328,MPLF,75,KG,639,EUR,843265,1
US10,8585452,3,88346328,MPLF,2,KG,618,EUR,822041,6
US10,7290456,2,97625203,MPLF,9,KG,554,EUR,822041,4
US10,8585452,2,43678400,EDSA,58,PCS,115,EUR,822041,3
US10,7085282,1,60261224,UDF3,36,KG,350,EUR,374355,3
US10,7078048,1,58890322,UDF3,6,PCS,813,EUR,374355,2
US10,7509919,1,50862632,PYTF,98,PCS,867,EUR,374355,1
US10,9062329,1,13405872,TPM1,53,PCS,3,EUR,968449,2
US10,7290456,1,84480424,ZUFN,58,G,136,EUR,968449,1
DE10,9214716,1,88346328,MPLF,31,KG,618,EUR,567693,1
DE10,6178722,1,56389144,UDF3,16,PCS,119,EUR,287318,2
DE10,4984040,2,16177764,TPM1,81,KG,4,EUR,287318,1
US10,9372443,1,16177764,TPM1,73,KG,4,EUR,742813,2
US10,8585452,1,32645344,EDSA,60,PCS,845,EUR,742813,1
BR10,5015903,2,17231232,TPM1,89,PCS,5,EUR,721765,3
BR10,8695917,1,86662444,MPLF,78,KG,447,EUR,721765,2
BR10,7888778,1,28440760,ZELA,19,PCS,603,EUR,721765,1
DE10,4984040,1,16177764,TPM1,56,KG,4,EUR,404413,2
BR10,5549488,2,10615744,TPM1,13,PCS,5,EUR,758060,3
BR10,5015903,1,18608880,TPM1,88,PCS,1,EUR,758060,2
BR10,7631988,1,75603272,ZUFN,31,PCS,320,EUR,448584,1
BR10,8600532,1,89034752,MPLF,35,PCS,726,EUR,408896,1
DE10,9648801,1,13405872,TPM1,10,PCS,3,EUR,597012,1
DE10,5016562,1,78949416,ZUFN,1,PCS,991,EUR,597012,2
BR10,5549488,1,10615744,TPM1,60,PCS,5,EUR,758060,1
US10,7526814,1,78949416,ZUFN,48,PCS,991,EUR,806024,3
US10,8065580,3,15353960,TPM1,72,PCS,2,EUR,806024,4
US10,6709065,1,86834912,MPLF,50,PCS,381,EUR,750979,4
US10,7465621,4,11788404,TPM1,64,PCS,6,EUR,806024,2
US10,7332698,1,43151008,EDSA,98,PCS,554,EUR,806024,1
US10,8065580,2,18608880,TPM1,60,PCS,1,EUR,750979,3
US10,8065580,1,15353960,TPM1,62,PCS,2,EUR,822041,2
US10,5595325,1,83863032,ZUFN,44,G,263,EUR,750979,2
US10,5930952,1,28440760,ZELA,90,PCS,603,EUR,750979,1
US10,7465621,3,13505536,TPM1,48,PCS,7,EUR,190087,1
US10,7465621,2,11159536,TPM1,39,PCS,1,EUR,112735,1
US10,7465621,1,13405872,TPM1,78,PCS,3,EUR,822041,5
BR10,5638983,1,55226864,PYTF,24,PCS,520,EUR,329073,1
BR10,5869417,2,11788404,TPM1,10,PCS,6,EUR,178789,2
BR10,6424514,1,83863032,ZUFN,11,G,263,EUR,178789,1
BR10,5869417,1,13505536,TPM1,88,PCS,7,EUR,499201,1
JP11,9240180,1,10615744,TPM1,49,PCS,5,EUR,715194,1
CN10,7655989,3,18608880,TPM1,75,PCS,1,EUR,169765,2
CN10,6457070,1,75990376,ZUFN,54,PCS,499,EUR,398212,1
CN10,7655989,1,17231232,TPM1,37,PCS,5,EUR,996569,4
IN10,5476607,1,26857600,ZELA,38,PCS,453,EUR,542085,3
IN10,6514746,3,11788404,TPM1,5,PCS,6,EUR,542085,2
IN10,6514746,2,10615744,TPM1,93,PCS,5,EUR,542085,1
IN10,5053548,1,16177764,TPM1,18,KG,4,EUR,896086,1
IN10,7645353,1,36128224,EDSA,78,PCS,735,EUR,210861,4
CN10,9255257,1,88903632,MPLF,94,PCS,839,EUR,595261,3
IN10,6514746,1,13505536,TPM1,36,PCS,7,EUR,210861,3
IN10,8423501,1,83863032,ZUFN,35,G,263,EUR,940088,1
CN10,7655989,2,19297648,TPM1,23,PCS,2,EUR,169765,1
CN10,7232396,2,21595928,COLA,25,PCS,83,EUR,996569,2
CN10,9519524,1,13405872,TPM1,67,PCS,3,EUR,996569,1
CN10,7232396,1,62792440,UDF3,18,PCS,124,EUR,372152,1
DE10,5201764,1,82207928,ZUFN,62,KG,441,EUR,850635,1
DE10,9724617,1,15353960,TPM1,79,PCS,2,EUR,567693,2
US10,7082667,1,13505536,TPM1,82,PCS,7,EUR,209192,1
US10,6624793,1,17231232,TPM1,47,PCS,5,EUR,209192,2
DE10,5246754,3,10615744,TPM1,11,PCS,5,EUR,953803,1
BR10,7481028,3,13405872,TPM1,35,PCS,3,EUR,435148,2
BR10,7829924,1,18608880,TPM1,8,PCS,1,EUR,486016,1
IN10,7517012,1,45162744,EDSA,5,PCS,520,EUR,121572,1
US10,8748393,1,86662444,MPLF,65,KG,434,EUR,222604,1
US10,7082667,2,13405872,TPM1,59,PCS,3,EUR,500717,2
US10,6624793,2,15353960,TPM1,19,PCS,2,EUR,500717,3
JP11,7284168,1,10615744,TPM1,89,PCS,5,EUR,530681,1
BR10,9055910,1,88346328,MPLF,9,KG,618,EUR,265304,2
BR10,7481028,2,13405872,TPM1,66,PCS,3,EUR,827223,2
BR10,7481028,1,10615744,TPM1,16,PCS,5,EUR,827223,1
DE10,7679598,4,18608880,TPM1,14,PCS,1,EUR,666747,7
DE10,5128364,2,98151444,MPLF,73,PCS,916,EUR,666747,6
IN10,8546872,1,25398208,COLA,24,PCS,504,EUR,814370,1
DE10,5246754,2,13505536,TPM1,94,PCS,7,EUR,666747,4
DE10,6923269,1,20667944,COLA,1,KG,463,EUR,570572,1
CN10,8646382,1,13405872,TPM1,14,PCS,3,EUR,247630,1
DE10,5246754,1,11788404,TPM1,73,PCS,6,EUR,161725,1
IN10,7148750,1,13505536,TPM1,76,PCS,7,EUR,878392,2
DE10,5128364,1,86834912,MPLF,24,PCS,381,EUR,666747,5
CN10,6198995,1,21595928,COLA,60,PCS,83,EUR,398212,3
CN10,8646382,2,10615744,TPM1,29,PCS,5,EUR,398212,4
CN10,5644265,1,79697072,ZUFN,52,PCS,710,EUR,211456,2
CN10,7257684,1,51088568,PYTF,14,PCS,236,EUR,398212,2
DE10,7679598,5,17231232,TPM1,49,PCS,5,EUR,695207,1
DE10,8342501,1,87079640,MPLF,83,KG,332,EUR,666747,2
DE10,6475135,1,43151008,EDSA,46,PCS,554,EUR,666747,1
DE10,7679598,2,15353960,TPM1,92,PCS,2,EUR,964593,2
DE10,6923269,2,69909608,UDF3,99,PCS,990,EUR,161725,2
DE10,7679598,3,17231232,TPM1,14,PCS,5,EUR,666747,3
DE10,9293910,1,98147568,MPLF,84,L,996,EUR,964593,1
DE10,7679598,1,16177764,TPM1,76,KG,4,EUR,449242,1
US10,6887334,2,11788404,TPM1,32,PCS,6,EUR,196350,1
DE10,7481139,1,40378320,EDSA,55,PCS,605,EUR,568392,2
US10,6900009,2,19474160,COLA,85,KG,986,EUR,196350,3
DE10,8278720,1,25398208,COLA,28,PCS,504,EUR,695207,2
DE10,5445364,3,15353960,TPM1,12,PCS,2,EUR,568392,1
DE10,9116079,1,13405872,TPM1,54,PCS,3,EUR,217309,2
US10,5025779,1,54965832,PYTF,14,G,77,EUR,196350,2
DE10,5445364,2,15353960,TPM1,27,PCS,2,EUR,217309,1
US10,6900009,1,25398208,COLA,64,PCS,504,EUR,500717,1
DE10,8278720,3,88346328,MPLF,47,KG,618,EUR,437517,1
DE10,8415591,1,26857600,ZELA,41,PCS,453,EUR,256382,1
DE10,8278720,2,19474160,COLA,39,KG,986,EUR,449257,4
DE10,5445364,1,17231232,TPM1,94,PCS,5,EUR,449257,3
DE10,9519905,1,86834912,MPLF,68,PCS,381,EUR,449257,1
US10,7842085,1,88797376,MPLF,80,PCS,6,EUR,425118,5
US10,7893169,1,49790248,PYTF,87,PCS,700,EUR,425118,4
US10,6840459,1,45841032,EDSA,39,PCS,593,EUR,425118,3
US10,8540817,1,98151444,MPLF,7,PCS,916,EUR,425118,2
US10,6887334,1,11159536,TPM1,62,PCS,1,EUR,425118,1
DE10,9009361,1,86662444,MPLF,7,KG,447,EUR,449257,2
DE10,9009361,3,29156488,ZELA,23,PCS,374,EUR,437517,2
DE10,9009361,2,88797376,MPLF,21,PCS,6,EUR,256382,2
IN10,7369149,1,36128224,EDSA,43,PCS,711,EUR,601006,2
CN10,5146422,1,87079640,MPLF,21,KG,332,EUR,238888,2
BR10,8669551,3,19297648,TPM1,94,PCS,2,EUR,620195,1
IN10,6182626,1,48075088,PYTF,22,KG,353,EUR,676338,2
CN10,7793326,1,24567712,COLA,23,PCS,689,EUR,238888,1
CN10,7288134,1,18608880,TPM1,77,PCS,1,EUR,336843,1
CN10,8644797,1,89034752,MPLF,2,PCS,726,EUR,434928,1
CN10,9112987,1,25398208,COLA,32,PCS,504,EUR,119777,2
CN10,5226546,1,47767912,PYTF,53,PCS,872,EUR,119777,1
IN10,8776148,1,19297648,TPM1,73,PCS,2,EUR,228914,1
IN10,9426444,1,19474160,COLA,15,KG,978,EUR,171204,1
IN10,8417362,1,47767912,PYTF,50,PCS,915,EUR,676338,1
IN10,8776148,3,18608880,TPM1,3,PCS,1,EUR,638115,1
IN10,7369149,2,35470001,EDSA,76,KG,235,EUR,336562,3
BR10,8669551,2,17231232,TPM1,91,PCS,5,EUR,880326,2
BR10,9690537,2,25398208,COLA,15,PCS,504,EUR,880326,1
IN10,9426444,2,43678400,EDSA,95,PCS,115,EUR,676338,3
BR10,5380751,1,20667944,COLA,36,KG,463,EUR,768332,3
BR10,8669551,1,18608880,TPM1,55,PCS,1,EUR,585389,1
IN10,8776148,2,17231232,TPM1,99,PCS,5,EUR,601006,1
JP11,6444955,1,17231232,TPM1,1,PCS,5,EUR,830615,1
JP11,6741934,1,87079640,MPLF,57,KG,332,EUR,750150,2
JP11,6014877,1,77128608,ZUFN,85,PCS,606,EUR,249197,1
BR10,4972825,1,10615744,TPM1,64,PCS,5,EUR,435148,1
BR10,9690537,1,79697072,ZUFN,88,PCS,710,EUR,768332,1
BR10,5732896,1,67221888,UDF3,86,KG,193,EUR,768332,2
BR10,7278296,1,84480424,ZUFN,76,G,136,EUR,265304,1
US10,6263710,4,11159536,TPM1,55,PCS,1,EUR,963222,2
US10,7370312,2,54753968,PYTF,13,PCS,13,EUR,963222,1
US10,6263710,3,10615744,TPM1,69,PCS,5,EUR,418064,8
US10,6263710,1,13505536,TPM1,52,PCS,7,EUR,309369,1
US10,7735754,1,76304544,ZUFN,14,PCS,692,EUR,309369,2
US10,5277217,1,26709208,ZELA,7,KG,229,EUR,418064,1
US10,8548515,1,19297648,TPM1,23,PCS,2,EUR,837076,1
US10,8548515,2,18608880,TPM1,63,PCS,1,EUR,837076,2
US10,6888132,1,89034752,MPLF,31,PCS,726,EUR,751515,1
US10,8548515,4,18608880,TPM1,95,PCS,1,EUR,418064,7
US10,6263710,2,13505536,TPM1,60,PCS,7,EUR,418064,6
US10,8548515,3,18608880,TPM1,80,PCS,1,EUR,418064,5
US10,7370312,1,26857600,ZELA,47,PCS,453,EUR,418064,4
US10,7530868,1,75603272,ZUFN,51,PCS,320,EUR,418064,2
US10,8462285,2,86834912,MPLF,75,PCS,381,EUR,669966,1
DE10,5314846,1,82207928,ZUFN,31,KG,428,EUR,282732,1
IN10,8474556,4,10615744,TPM1,55,PCS,5,EUR,321061,2
IN10,8474556,2,13405872,TPM1,99,PCS,3,EUR,336562,2
DE10,7944952,1,79697072,ZUFN,21,PCS,710,EUR,958617,1
DE10,8727507,1,87079640,MPLF,7,KG,332,EUR,591634,2
DE10,9077555,1,13405872,TPM1,40,PCS,3,EUR,591634,1
JP11,9367119,1,86457056,MPLF,46,PCS,159,EUR,348383,1
JP11,5319591,1,45013285,EDSA,98,KG,543,EUR,813142,1
JP11,5426263,1,16177764,TPM1,79,KG,4,EUR,210628,1
CN10,8020912,1,93159896,MPLF,89,PCS,159,EUR,238888,3
IN10,8613215,1,98147568,MPLF,27,L,996,EUR,321061,3
US10,6648432,1,71374072,UDF3,41,PCS,293,EUR,963222,3
IN10,8474556,3,11159536,TPM1,48,PCS,1,EUR,321061,1
IN10,8772658,1,49991456,PYTF,5,PCS,733,EUR,698218,3
IN10,7604371,1,45841032,EDSA,94,PCS,603,EUR,698218,2
IN10,8650543,1,19474160,COLA,38,KG,986,EUR,698218,1
IN10,5257125,1,98151444,MPLF,1,PCS,916,EUR,638115,4
IN10,8474556,1,10615744,TPM1,62,PCS,5,EUR,336562,1
US10,8548515,5,17231232,TPM1,85,PCS,5,EUR,597663,6
BR10,9067295,1,17231232,TPM1,14,PCS,5,EUR,936665,1
BR10,9067295,2,15353960,TPM1,85,PCS,2,EUR,504131,1
BR10,9067295,3,16177764,TPM1,5,KG,4,EUR,504131,2
BR10,5431119,1,25398208,COLA,73,PCS,504,EUR,737900,1
BR10,9552516,1,10615744,TPM1,10,PCS,5,EUR,265015,1
JP11,4967754,1,15353960,TPM1,29,PCS,2,EUR,687817,1
IN10,8549926,2,19474160,COLA,16,KG,986,EUR,211194,1
IN10,8549926,3,44409248,EDSA,84,L,267,EUR,211194,2
IN10,9514976,2,15353960,TPM1,75,PCS,2,EUR,211194,3
IN10,7498498,2,26230416,ZELA,25,PCS,190,EUR,383508,1
IN10,9450760,1,48075088,PYTF,70,KG,370,EUR,383508,2
IN10,5220261,4,11159536,TPM1,3,PCS,1,EUR,856547,3
US10,7247211,1,17231232,TPM1,11,PCS,5,EUR,418064,3
CN10,7735564,2,88903632,MPLF,47,PCS,880,EUR,313395,2
US10,7247211,2,15353960,TPM1,47,PCS,2,EUR,597663,1
BR10,5442543,1,56389144,UDF3,61,PCS,119,EUR,503626,1
IN10,9657303,1,75603272,ZUFN,45,PCS,320,EUR,360218,3
US10,8555129,1,55226864,PYTF,86,PCS,520,EUR,597663,2
US10,8050023,1,50191792,PYTF,22,KG,545,EUR,597663,3
US10,6493602,1,86662444,MPLF,71,KG,447,EUR,597663,4
US10,5370412,1,89034752,MPLF,94,PCS,753,EUR,597663,5
US10,9184190,1,28348643,ZELA,86,PCS,684,EUR,597663,7
US10,7377599,1,13505536,TPM1,50,PCS,7,EUR,662586,1
US10,7247211,3,16177764,TPM1,94,KG,4,EUR,668962,1
BR10,7054893,1,15353960,TPM1,44,PCS,2,EUR,169715,1
CN10,7735564,1,88903632,MPLF,59,PCS,880,EUR,852777,1
IN10,5208772,1,89034752,MPLF,21,PCS,726,EUR,472965,1
IN10,9514976,1,18608880,TPM1,40,PCS,1,EUR,472965,2
IN10,5220261,1,13505536,TPM1,11,PCS,7,EUR,321061,4
IN10,5220261,2,13505536,TPM1,69,PCS,7,EUR,771846,1
DE10,9501605,1,25235624,COLA,26,L,640,EUR,457260,1
DE10,5069770,2,82809960,ZUFN,1,L,435,EUR,590706,6
DE10,5586573,5,15353960,TPM1,73,PCS,2,EUR,590706,5
DE10,9402088,1,67221888,UDF3,78,KG,193,EUR,590706,4
DE10,5586573,4,16177764,TPM1,74,KG,4,EUR,590706,3
IN10,5208772,2,82809960,ZUFN,80,L,433,EUR,360218,1
DE10,5586573,3,16177764,TPM1,48,KG,4,EUR,590706,1
DE10,5586573,2,18608880,TPM1,4,PCS,1,EUR,874765,1
DE10,5586573,1,18608880,TPM1,30,PCS,1,EUR,811011,1
CN10,9606806,5,11788404,TPM1,66,PCS,6,EUR,594796,3
CN10,9606806,4,11159536,TPM1,2,PCS,1,EUR,594796,2
CN10,7622853,1,78949416,ZUFN,44,PCS,991,EUR,594796,1
CN10,6179554,1,75603272,ZUFN,1,PCS,320,EUR,949301,4
CN10,9606806,2,11788404,TPM1,31,PCS,6,EUR,949301,2
CN10,9606806,1,11159536,TPM1,5,PCS,1,EUR,949301,1
US10,9603040,1,67221888,UDF3,85,KG,193,EUR,668962,2
