EBELN,EBELP,UDATE,FIELD,VALUE
133779,2,2020-02-03,Q,95
133779,2,2020-02-03,P,721
134030,1,2019-05-23,P,4
134047,1,2022-11-21,Q,46
134094,2,2022-10-20,P,5
134094,3,2022-10-20,P,175
134280,1,2020-06-24,Q,27
134280,1,2020-07-02,P,7
134280,2,2020-06-29,Q,60
134280,3,2020-06-26,P,708
134393,1,,P,725
134393,3,,Q,23
134393,4,2020-01-16,P,4
134393,4,2020-01-20,P,4
135608,1,2022-07-01,P,2
135608,1,2022-07-04,P,2
135608,2,2022-06-28,Q,45
135996,1,2021-01-22,P,590
136308,1,2020-06-30,Q,38
136597,2,2019-04-08,P,1008
137282,1,2020-03-02,Q,78
137282,1,2020-03-05,P,518
137282,4,2020-03-05,P,3
137364,1,2020-11-09,Q,9
137364,1,2020-11-09,P,637
137364,2,2020-11-02,Q,39
137732,1,2022-01-03,P,2
137732,2,2022-01-03,P,405
137732,2,2022-01-05,P,424
137732,4,2021-12-29,Q,17
137732,5,2021-12-30,P,7
137885,1,2019-04-02,P,370
137885,1,2019-04-04,P,362
137885,2,2019-04-15,Q,97
137885,3,2019-04-01,P,214
137885,3,2019-04-09,Q,87
138159,1,2022-05-09,P,562
138431,2,2022-07-19,Q,4
138431,2,2022-07-25,P,729
138636,2,2021-05-10,P,270
138704,1,2021-10-22,P,984
139223,1,2022-09-26,Q,97
139610,1,2023-02-20,P,2
139610,1,2023-02-24,P,2
139610,2,2023-03-06,P,223
140199,1,2021-09-27,P,1
140574,2,2021-08-16,Q,99
142126,2,2021-08-16,Q,63
142126,4,,Q,20
142126,4,,P,746
142126,4,,P,736
142126,5,2021-08-17,P,483
142137,1,2021-09-01,P,719
142137,2,2021-08-30,Q,38
142542,1,2020-09-30,P,4
142652,1,2020-10-30,Q,79
142652,3,2020-11-16,Q,30
142652,5,2020-10-23,P,465
142679,1,2020-04-06,Q,49
142679,1,2020-04-06,P,435
142679,2,2020-04-06,Q,43
142970,1,2019-09-24,Q,93
142970,2,2019-10-02,Q,82
143050,3,,Q,21
143050,3,,P,954
143050,3,,P,955
143050,5,2020-12-14,P,4
143050,6,,Q,36
143056,1,,Q,46
143056,4,2022-05-24,P,423
143067,3,2019-09-12,Q,9
143161,1,2020-05-29,Q,82
143976,1,,Q,69
143976,3,2019-08-30,Q,19
143976,3,2019-09-02,Q,18
144378,1,2020-01-24,P,165
144378,2,2020-01-06,P,5
144378,2,2020-01-06,P,5
144562,1,2021-07-19,P,463
144791,3,2021-08-26,P,721
145326,1,2021-05-03,Q,43
145435,2,2020-07-24,P,547
145789,2,2021-07-08,P,453
145958,3,2021-07-21,Q,64
145958,4,2021-07-22,P,7
147338,1,2022-01-04,P,310
147561,2,2022-09-20,P,736
147561,2,2022-09-21,P,720
147995,1,2019-11-20,Q,18
147995,1,2019-11-27,Q,20
148186,1,2022-05-26,Q,8
148186,1,2022-06-13,P,453
148461,1,2021-08-30,Q,32
148592,1,2021-04-15,P,669
149568,1,2020-08-03,Q,32
150040,1,2019-04-16,Q,22
150754,1,2019-11-11,Q,37
150754,1,2019-11-11,P,1001
152054,3,,Q,34
152087,1,2022-11-14,P,723
152248,1,2019-01-14,P,640
152248,1,2019-01-16,P,665
152698,4,2020-07-24,P,596
153111,1,2022-05-02,P,4
153180,1,2020-01-15,Q,11
153180,1,2020-01-20,Q,8
153180,2,2020-01-27,Q,21
154307,1,2022-05-02,Q,42
154307,2,2022-04-25,Q,71
154307,2,2022-04-27,P,1
154307,2,2022-04-28,Q,71
154414,2,2019-07-26,P,1
154539,1,2019-02-04,P,2
154539,3,2019-02-01,Q,49
154654,4,2019-11-19,Q,97
154841,2,2022-10-31,P,87
155003,1,2022-05-30,P,519
155169,1,2021-03-25,Q,13
155181,2,2020-05-05,Q,101
155619,2,,Q,85
155619,3,2021-06-14,P,6
155813,2,2021-11-04,Q,96
155813,3,2021-11-01,Q,24
155813,4,2021-11-10,P,403
155813,4,2021-11-16,P,392
156018,1,2021-11-30,Q,79
156018,1,2021-12-07,P,231
156346,2,2021-08-12,P,1
156346,2,2021-08-17,Q,86
156346,3,2021-08-25,Q,37
156462,2,2021-06-11,P,4
156462,3,2021-06-11,P,3
156830,1,2021-10-25,P,378
157666,1,2020-10-08,Q,22
157666,1,2020-10-12,P,315
157679,1,,P,5
157679,2,2021-08-17,P,1
157679,2,2021-08-18,P,1
157799,2,2021-12-01,P,5
157799,3,2021-12-01,P,5
158427,2,,Q,87
158664,1,2019-12-02,Q,12
158847,1,2021-08-26,Q,29
158847,1,2021-08-27,Q,29
158847,1,2021-09-01,P,1
159085,1,2021-11-08,P,605
159085,1,2021-11-16,Q,3
159085,2,2021-11-12,P,7
159232,1,2021-12-13,P,530
160263,1,2020-07-17,P,2
160263,2,2020-07-13,P,122
160608,1,2021-09-03,Q,58
160608,2,2021-09-09,Q,84
160809,3,2022-11-04,P,2
160825,1,2021-12-03,P,746
160825,2,2021-12-06,P,982
161003,1,,Q,70
161003,1,,P,2
161003,2,2020-05-07,P,521
161041,1,2020-02-20,Q,40
161041,1,2020-02-25,P,398
161974,1,2021-01-27,P,676
161974,1,2021-01-28,Q,69
162539,1,2021-10-22,Q,43
162550,1,2019-02-04,P,571
162550,1,2019-02-05,Q,90
162931,2,2022-04-13,P,417
162931,2,2022-04-18,Q,74
162931,4,2022-04-01,P,4
162941,1,2020-03-16,P,5
162941,2,2020-03-16,Q,68
162941,3,2020-03-09,Q,39
162941,3,2020-03-16,P,1034
163155,1,2022-04-04,P,186
163155,1,2022-04-08,Q,61
163155,2,,Q,4
163155,2,,P,446
163429,1,2020-06-01,P,491
163429,2,2020-05-25,Q,89
163429,3,2020-05-28,P,5
164216,3,2022-06-29,Q,90
164246,1,2022-01-26,Q,80
164271,2,2021-03-08,P,456
164271,2,2021-03-09,P,454
166731,2,2021-09-06,Q,87
167340,1,,Q,5
167416,2,2023-01-17,Q,41
167416,3,2023-01-19,P,329
167618,1,2019-10-14,P,276
168631,1,2021-03-26,P,720
168631,2,2021-04-02,P,2
168631,3,2021-04-08,P,526
168986,2,2022-05-12,P,709
168986,3,2022-05-20,Q,5
168986,5,2022-05-17,P,6
169217,1,2021-10-19,Q,21
169217,2,,Q,61
169217,4,2021-10-21,P,2
169217,4,2021-10-25,P,2
169217,4,2021-10-27,Q,77
169217,5,,Q,38
169765,2,2019-02-18,Q,75
169933,1,2023-03-01,P,612
169933,2,2023-02-27,Q,21
170269,2,2020-11-25,P,663
170977,1,2022-06-06,P,5
171290,1,2021-12-30,Q,80
171290,1,2022-01-04,P,2
171290,2,2021-12-30,Q,64
171290,2,2022-01-07,P,549
171290,3,,P,696
171348,1,2021-03-08,P,1
171647,2,2019-08-26,Q,43
171816,1,2021-07-16,Q,67
171816,2,2021-07-13,P,386
171816,4,2021-07-14,P,1
171816,4,2021-07-19,P,1
171842,1,2020-04-27,Q,81
171842,1,2020-04-28,P,663
172365,2,2019-06-17,P,911
174327,1,2022-01-10,P,246
174327,2,,Q,85
174327,3,2022-01-06,P,596
174410,1,2020-02-24,P,539
175588,2,2020-07-16,Q,30
175615,3,2019-08-26,P,612
175615,3,2019-08-26,P,621
175654,1,2022-05-06,Q,103
175780,1,2022-06-28,Q,17
175780,3,2022-06-21,Q,88
175806,1,2019-01-28,P,142
175971,1,2019-08-20,P,572
176283,1,2019-09-02,P,639
176283,1,2019-09-17,P,623
176283,3,,P,80
176335,2,2022-08-22,P,80
176946,1,2019-05-06,P,466
176946,2,2019-05-03,P,331
177138,1,,P,131
177283,1,,Q,49
177283,2,2019-10-16,P,2
177287,4,2022-08-22,P,3
177330,2,2020-06-09,P,984
177625,1,2022-05-20,Q,64
177625,1,,P,508
177826,1,2021-04-05,Q,83
177826,1,2021-04-12,P,185
177884,2,2022-05-16,Q,99
178107,2,2020-08-17,Q,46
178107,2,2020-08-21,P,744
178107,2,2020-08-24,P,748
178169,1,2019-08-22,P,6
178169,2,2019-08-15,P,654
178169,2,2019-08-20,Q,80
178169,2,2019-08-23,P,639
178169,3,2019-08-13,Q,63
178169,3,2019-08-14,P,481
178401,1,,Q,55
178647,2,2022-04-21,Q,15
178647,2,2022-04-22,Q,18
178832,1,,Q,12
178955,1,,P,657
179098,1,2020-07-21,Q,79
179098,1,2020-07-21,P,924
179098,1,2020-07-24,P,912
179177,1,2019-12-27,Q,59
179177,2,2020-01-08,Q,3
179957,1,2022-08-15,Q,40
180933,2,2022-01-12,Q,5
180933,2,2022-01-21,P,5
180933,4,2022-01-17,P,547
181167,1,,P,1
181249,1,,P,368
181249,1,,Q,87
181560,2,2023-02-15,P,6
181560,3,2023-02-08,Q,32
182021,1,,P,326
182200,1,2023-01-27,P,139
182200,1,2023-02-06,Q,42
182200,2,2023-01-23,Q,8
182275,1,2020-12-28,Q,20
182275,1,2020-12-29,P,4
182275,2,,P,1000
182480,1,2019-10-28,Q,96
183208,1,2022-11-04,Q,87
183208,1,2022-11-09,P,575
183268,1,2019-11-04,P,223
183448,1,2021-12-13,Q,85
183448,2,2021-12-09,P,156
184449,2,2020-03-17,Q,7
184449,2,2020-03-18,P,3
184692,2,,P,131
184896,1,2019-06-17,P,419
184982,1,,P,566
185243,1,2020-08-17,Q,59
185602,1,2020-02-25,P,1
185667,1,2022-04-07,P,155
185925,1,2020-02-19,Q,31
185925,2,2020-02-27,P,120
185925,2,2020-02-28,Q,35
186009,1,2022-08-15,Q,55
186009,2,2022-08-08,P,3
186645,1,2020-10-07,P,757
186774,1,2022-08-10,P,4
186815,2,2019-04-04,P,6
187336,1,2020-01-28,Q,61
187437,4,2022-10-31,Q,46
187437,4,2022-11-02,P,4
187764,1,,Q,48
187764,3,2022-07-13,P,2
188355,1,2022-08-05,P,1
189266,1,2021-01-08,Q,91
189266,2,2021-01-08,P,997
189266,2,2021-01-12,Q,6
189266,2,2021-01-18,P,947
189266,3,2021-01-08,P,80
189266,4,,Q,82
189294,4,2023-01-26,P,1
189294,5,2023-02-02,P,503
189585,1,2022-01-03,Q,20
189585,2,2022-01-03,P,953
189585,2,2022-01-04,Q,38
190220,1,2021-07-26,Q,23
190229,1,2020-05-04,P,887
190229,1,2020-05-18,Q,4
190287,1,2020-09-01,P,440
190556,3,2021-12-28,Q,84
190971,1,2019-11-11,P,3
191162,1,2020-12-14,Q,3
191227,1,2021-05-17,P,6
192172,1,,P,435
192172,1,,Q,4
192193,1,2020-04-13,P,7
193139,1,2022-08-22,P,5
193139,1,2022-08-22,P,5
193601,2,2020-09-21,Q,2
194696,1,,P,259
194925,3,,Q,65
194925,3,,P,495
194925,3,,P,518
195034,1,2022-08-12,P,587
195034,1,2022-08-15,Q,13
195034,2,,Q,86
195055,3,2021-05-03,P,484
195326,1,,P,680
195326,2,2019-02-01,P,6
195326,3,2019-02-04,P,331
196117,1,2021-11-08,P,891
196117,2,,Q,10
196129,2,2020-01-16,Q,90
197050,1,2022-02-14,Q,9
197432,2,2021-12-28,Q,42
197432,4,,P,263
197432,4,,Q,43
197749,4,,Q,22
197779,2,,Q,27
199918,1,2020-09-16,Q,4
199918,2,2020-09-17,P,236
200271,1,2019-11-29,P,4
200283,1,,P,2
200283,1,,P,2
200379,1,2023-01-16,Q,55
200379,1,2023-01-16,P,719
200379,2,2023-01-16,Q,83
200379,2,2023-01-16,Q,79
200478,1,2020-01-06,Q,44
200806,1,2021-08-13,Q,64
200806,1,2021-08-27,Q,68
200806,1,2021-08-30,P,1
200806,2,2021-08-23,Q,37
200806,2,2021-08-24,P,522
201462,1,,P,678
201483,1,2019-05-30,Q,85
201483,1,,Q,83
201483,2,2019-06-04,Q,60
201483,2,2019-06-10,Q,64
201483,2,2019-06-10,P,2
201670,1,2019-10-04,P,1
201808,1,2020-12-04,P,162
202274,2,2021-12-21,Q,55
202357,3,2019-07-22,P,380
202361,2,2022-06-24,Q,45
202361,2,2022-06-28,P,329
202408,1,2022-05-11,P,3
202408,1,2022-05-16,Q,60
202747,1,2021-05-11,Q,41
202911,1,2021-01-21,P,570
203013,2,2019-07-29,P,318
203064,1,2020-12-02,Q,81
203064,1,2020-12-03,P,956
203064,2,2020-11-30,P,5
203086,2,2021-09-06,Q,49
203086,3,,Q,42
203600,3,2021-06-04,P,759
203600,3,2021-06-10,Q,44
204211,2,2021-08-16,P,1
204231,1,2020-08-24,P,887
204710,1,2019-08-12,Q,22
204710,1,2019-08-27,P,398
205120,1,2021-03-08,P,4
205120,1,2021-03-08,P,4
205472,1,2022-02-03,P,5
205492,1,,P,228
205492,4,2019-09-23,Q,57
205492,4,2019-09-24,Q,64
205492,5,2019-09-23,Q,3
205492,5,2019-09-24,P,2
205492,5,2019-09-26,P,2
205492,6,2019-09-25,Q,22
205614,1,,Q,53
205614,1,,P,1
205614,3,2022-11-21,P,652
206130,1,2019-03-11,P,2
206130,1,2019-03-11,P,2
206130,1,2019-03-14,P,2
206130,2,,Q,44
206130,2,,Q,39
206130,2,,P,2
206225,2,2020-01-27,P,3
206225,3,2020-01-28,Q,63
206225,3,2020-01-29,P,318
206331,1,2021-08-23,Q,5
206331,1,2021-08-25,P,5
206388,2,2021-06-15,Q,34
206453,1,2022-04-08,Q,93
206556,1,2022-12-12,P,154
207362,2,2021-12-28,Q,30
207650,1,2021-07-01,P,546
207650,1,2021-07-02,Q,54
207650,2,2021-07-01,P,135
207650,2,2021-07-07,P,131
207650,3,2021-07-01,P,5
207650,4,2021-07-05,P,230
207650,4,2021-07-05,P,220
207781,2,2019-01-15,Q,78
207781,2,2019-01-21,Q,74
207781,2,2019-01-21,P,4
207916,1,,P,226
208574,1,,P,381
208607,2,,Q,75
208607,3,,Q,87
208673,2,2021-03-15,P,950
208673,3,2021-03-05,P,1
208879,3,2020-09-02,P,260
209226,1,2019-09-23,P,1002
209226,2,2019-09-18,P,452
209226,2,,Q,85
210042,1,2020-03-20,Q,22
210042,1,2020-03-31,P,438
210042,2,2020-03-30,P,523
210861,1,,P,437
210861,1,,P,449
210861,2,2019-02-14,Q,87
210861,2,2019-02-20,P,1
210861,3,2019-02-15,P,7
210861,3,2019-02-20,P,7
210861,4,2019-02-18,P,719
210861,4,2019-02-19,P,694
211194,1,2019-03-21,Q,20
211194,2,2019-03-18,Q,88
211194,2,2019-03-18,Q,84
211194,2,2019-03-26,P,272
211194,3,2019-03-18,P,2
211194,3,2019-03-18,P,2
211304,1,2020-10-02,P,13
211304,2,2020-10-05,Q,99
211341,1,2020-02-12,Q,35
211341,3,2020-02-12,P,743
211341,3,2020-02-17,Q,70
211456,1,,P,2
211828,2,2022-11-21,P,874
211854,1,,Q,18
211854,1,,P,416
211854,1,,P,422
211854,3,2021-10-25,Q,10
211854,4,2021-10-25,P,6
211854,5,2021-10-25,P,192
211854,5,2021-11-01,Q,44
212124,1,2022-12-19,P,279
212227,1,2022-05-26,P,1005
212381,2,2019-04-30,Q,14
212381,2,2019-04-30,P,7
212381,2,2019-05-02,Q,10
212752,1,2021-05-12,P,421
212752,2,2021-05-13,Q,75
212752,2,2021-05-20,P,558
213275,1,2021-08-16,Q,9
213275,2,2021-08-16,P,555
214085,1,2019-12-11,P,7
215025,1,2022-10-13,P,1
215530,1,2020-08-11,P,850
215530,3,2020-08-24,P,1
216410,4,2019-05-30,P,5
216410,4,2019-05-31,Q,30
216410,5,2019-06-03,P,438
216553,1,2019-05-08,Q,6
216616,2,,Q,2
216724,1,2022-04-25,P,225
217254,2,2019-07-03,P,323
217401,1,2022-04-25,Q,72
217401,3,,P,568
217443,1,2023-02-15,P,1
217443,2,2023-02-28,P,363
217493,1,2020-12-14,P,2
217493,2,2020-12-09,Q,41
217493,2,2020-12-10,P,5
217955,2,,Q,17
218007,1,2023-01-30,P,317
218098,1,2022-07-20,Q,28
218098,1,2022-07-20,Q,27
218370,1,2021-07-05,P,711
218370,1,2021-07-08,P,716
218370,3,2021-07-08,P,732
218370,3,2021-07-12,P,708
219887,1,2020-06-23,Q,66
220041,1,2020-07-27,P,583
220041,2,2020-07-13,P,1
220041,3,2020-07-14,Q,61
220041,3,2020-07-20,Q,64
220041,4,2020-07-17,Q,55
220051,1,2021-10-18,P,506
220051,1,2021-10-18,P,483
220051,1,2021-10-22,Q,45
220386,1,2022-11-14,P,1
220581,1,,Q,84
220581,1,,Q,88
220581,1,,P,6
220581,2,2019-05-27,Q,86
220581,3,,P,270
220581,3,,Q,101
220581,4,,P,684
220581,5,2019-05-20,P,1
221109,1,,P,5
221109,2,2020-02-10,P,484
221343,2,2020-10-16,P,1
221343,2,2020-10-20,P,1
221343,2,2020-10-26,P,1
221671,1,2022-12-06,P,959
221671,2,2022-12-07,P,886
221716,2,2021-10-26,P,475
221756,1,2021-09-20,Q,74
222030,1,,P,442
222030,2,2021-02-18,P,333
222030,3,2021-02-05,P,480
222343,1,2020-05-04,P,883
222343,2,2020-05-04,Q,84
222343,2,2020-05-04,P,6
222343,3,2020-05-12,P,119
222385,1,2019-07-08,P,694
222760,1,2022-12-28,Q,31
223012,1,2021-04-08,Q,32
223012,2,,P,224
223021,1,2021-04-27,P,1
223659,1,2022-05-05,P,1
224086,2,2019-01-21,Q,85
224086,2,2019-01-21,P,2
224344,2,2019-08-07,P,2
224685,1,2021-12-31,P,458
224685,1,2022-01-03,Q,46
224736,1,2021-08-31,P,116
224925,2,2020-11-09,Q,22
225042,1,2023-01-24,Q,6
225042,2,2023-01-19,Q,12
225042,3,,Q,29
225042,3,,P,386
225042,3,,P,398
225042,3,,P,373
225386,2,,P,1
225386,3,2020-07-10,Q,92
225386,4,2020-07-20,P,5
225386,6,2020-07-09,P,5
225404,1,2023-01-30,P,79
225404,3,2023-02-13,Q,28
225404,5,2023-01-30,Q,15
225774,2,2021-08-23,P,337
226311,1,2019-04-22,P,637
226311,1,2019-04-24,P,669
226311,2,2019-04-29,P,813
226599,1,2020-05-25,P,1
226648,2,2022-09-15,P,119
226819,1,2022-01-12,P,7
227283,2,2022-01-31,P,156
227283,4,,P,811
228108,1,2019-05-09,Q,90
228108,2,,P,121
228108,2,,P,121
228129,2,2019-07-29,P,614
228129,2,2019-08-05,P,602
228307,4,2021-02-15,P,3
228307,4,2021-02-17,Q,11
228396,1,2021-08-16,Q,39
228396,1,2021-08-25,Q,38
228396,2,2021-08-11,P,936
228396,2,2021-08-12,Q,17
228849,1,2019-05-06,P,579
228914,1,2019-02-25,P,2
229176,2,2022-05-09,Q,12
229176,2,2022-05-12,P,762
229176,3,2022-05-11,Q,92
229176,4,2022-05-06,Q,29
229176,4,2022-05-06,Q,26
229176,4,2022-05-16,P,720
229176,4,2022-05-18,P,705
229607,2,2019-04-15,P,630
229730,1,2019-01-31,P,420
230038,1,2022-02-23,Q,36
230097,1,2022-06-20,P,996
230303,1,2021-12-27,P,2
230303,2,2021-12-20,Q,25
231058,1,2019-08-08,P,3
231058,1,,P,3
231123,1,2023-01-23,P,1
231270,1,2020-02-17,Q,69
231270,2,2020-02-13,P,4
231581,2,2019-06-25,P,6
231867,2,2019-04-29,Q,63
231867,3,2019-04-26,P,945
232020,1,2021-07-19,P,716
232265,1,2021-02-22,P,86
232265,2,2021-02-16,P,2
232280,1,2022-06-14,P,255
232621,1,,Q,27
232621,2,2019-08-27,P,3
232796,1,2019-11-22,P,957
232796,1,2019-11-25,P,969
232796,2,2019-11-26,Q,54
232866,1,2019-07-18,Q,68
233132,1,2019-11-04,Q,89
233132,1,2019-11-08,P,4
233406,1,2021-06-15,P,5
233406,2,2021-06-16,Q,22
233406,2,2021-06-17,P,438
233406,3,2021-06-24,P,3
233406,3,2021-06-25,P,3
233406,4,2021-06-15,P,1
233406,4,2021-06-22,Q,68
234010,1,2021-11-24,Q,7
234010,2,2021-11-29,Q,12
234010,2,2021-11-29,Q,13
234010,3,2021-11-30,P,1
234378,5,2019-07-25,Q,13
234515,1,2020-05-29,Q,16
234692,1,2021-09-10,P,4
234692,1,2021-09-13,Q,12
234692,2,,Q,9
234692,3,,Q,97
234795,1,2022-05-02,Q,4
235256,1,2022-12-08,P,5
235578,1,2022-05-25,P,7
235578,2,2022-05-26,P,5
235595,3,2020-12-24,P,2
235676,1,2022-08-23,Q,26
235676,2,2022-08-17,Q,5
235676,3,,P,2
236386,1,2020-11-05,Q,10
236386,1,2020-11-05,P,5
236386,1,2020-11-09,P,5
236542,1,,Q,35
236542,1,,P,372
236563,1,,P,7
236902,1,2021-03-12,P,138
238380,1,2023-03-03,Q,59
238380,1,2023-03-06,P,1
238434,1,2022-02-15,Q,82
238888,2,2019-03-08,Q,21
238888,3,2019-03-04,Q,89
238888,3,2019-03-07,P,155
238943,1,2019-09-06,P,2
239678,1,2022-11-07,P,7
240728,1,2020-12-25,P,1
240728,2,2020-12-15,P,219
240975,1,2020-05-25,P,3
241637,1,2022-08-11,Q,55
241847,1,2021-09-03,Q,25
242141,1,2019-01-25,P,580
242336,2,2022-04-29,P,4
242336,2,2022-05-02,P,4
242935,1,2023-02-10,P,1
242935,1,2023-02-15,P,1
243068,1,,P,136
243498,2,2023-02-23,Q,97
243685,1,2019-12-16,P,718
243685,2,2019-12-18,Q,49
244451,2,2019-03-22,P,635
244451,2,2019-03-26,P,641
244595,1,2019-01-18,P,529
244595,1,2019-01-21,P,542
244984,1,2022-03-07,P,115
244984,1,2022-03-08,P,115
245323,1,2019-09-04,Q,88
245323,2,2019-08-26,Q,81
245382,1,2019-08-07,P,554
245382,1,2019-08-12,P,541
245823,1,,Q,3
246023,1,2020-03-04,P,675
246104,1,2022-12-05,Q,74
246488,1,2021-03-29,P,545
247174,1,2019-04-29,Q,32
247206,1,2022-04-08,P,681
247206,1,2022-04-13,Q,47
247773,1,,Q,94
247793,1,2019-07-01,P,384
248183,1,2019-08-26,Q,38
248183,1,2019-08-26,P,331
248332,1,2021-02-01,Q,76
248332,1,2021-02-08,Q,82
248332,1,2021-02-08,Q,78
249197,1,2019-03-08,P,586
249418,1,2020-06-22,P,2
249418,1,2020-06-29,Q,95
249674,1,2020-05-07,Q,91
249834,1,2020-01-28,Q,65
249856,2,2020-12-25,Q,85
249856,2,2021-01-01,Q,90
249856,3,2020-12-23,Q,78
249856,3,2020-12-24,Q,76
250288,1,2019-07-18,P,234
250715,1,2020-02-10,P,1
251572,2,2020-03-20,P,3
252478,1,,P,5
252478,1,,Q,18
252478,1,,P,5
252478,2,,Q,7
252480,1,2022-08-22,P,576
