WERKS,BELNR,BLDAT,BUDAT,BPDAT,EREKZ,LIFNR,BLOCK,RLOCK
CN10,7964153,2019-02-20,2019-03-13,2019-02-22,x,35101221,,
CN10,8922742,2019-02-20,2019-03-13,2019-03-13,x,30003467,,
CN10,7941241,2019-02-20,2019-03-13,2019-03-13,x,30002348,,
CN10,6875409,2019-02-20,2019-03-13,2019-03-14,x,50759436,,
CN10,5010517,2019-02-20,2019-03-13,2019-03-05,x,32519746,,
BR10,8095887,2019-02-20,2019-03-13,2019-02-28,x,74997556,,
BR10,9640859,2019-02-14,2019-03-07,2019-03-04,x,30002348,,
CN10,8074959,2019-02-20,2019-03-13,2019-03-19,x,70920548,,
DE10,5284359,2019-02-20,2019-03-13,2019-03-22,x,48114031,,
DE10,8817298,2019-02-20,2019-03-13,2019-02-27,x,70920548,,
IN10,8731056,2019-02-26,2019-03-19,2019-03-12,x,30003467,,
BR10,5549488,2019-02-26,2019-03-19,2019-03-12,x,30003467,,
CN10,7240386,2019-02-26,2019-03-19,2019-03-06,x,41420829,,
CN10,5809441,2019-02-18,2019-03-11,2019-02-27,x,30003467,,
CN10,6571547,2019-02-26,2019-03-19,2019-03-04,x,53847241,,
CN10,6066730,2019-02-26,2019-03-19,2019-03-01,x,50759436,,
JP11,7859428,2019-02-26,2019-03-19,2019-03-14,x,47017350,,
JP11,8224317,2019-02-26,2019-03-19,2019-03-04,x,30002348,,
JP11,8590814,2019-02-26,2019-03-19,2019-03-22,x,35101221,,
JP11,5402439,2019-02-26,2019-03-19,2019-03-19,x,43088822,,
JP11,5187346,2019-02-26,2019-03-19,2019-03-05,x,70920548,,
JP11,9257079,2019-02-26,2019-03-19,2019-03-06,x,30003467,,
CN10,9471759,2019-02-26,2019-03-19,2019-03-19,x,30002348,,
IN10,5585176,2019-02-26,2019-03-19,2019-03-14,x,78411205,,
IN10,7604482,2019-02-26,2019-03-19,2019-03-14,x,43088822,,
IN10,8045115,2019-02-26,2019-03-19,2019-03-01,x,73419740,,
IN10,7996486,2019-02-26,2019-03-19,2019-03-18,x,30002348,,
IN10,6392043,2019-02-26,2019-03-19,2019-03-05,x,32952574,,
IN10,8731286,2019-02-26,2019-03-19,2019-03-18,x,48114031,2019-02-28,2019-03-08
CN10,6568067,2019-02-08,2019-03-01,2019-02-22,x,34702906,,
IN10,5217787,2019-02-26,2019-03-19,2019-03-15,x,49330617,,
BR10,8467406,2019-02-06,2019-02-27,2019-02-08,x,48114031,,
US10,8585452,2019-02-26,2019-03-19,2019-03-06,x,48114031,,
US10,7290456,2019-02-26,2019-03-19,2019-03-12,x,38334498,,
US10,7085282,2019-02-26,2019-03-19,2019-03-04,x,73419740,,
US10,7078048,2019-02-26,2019-03-19,2019-02-28,x,34702906,,
US10,7509919,2019-02-26,2019-03-19,2019-02-28,x,74997556,,
US10,9062329,2019-02-26,2019-03-19,2019-03-18,x,30003467,2019-03-07,2019-03-14
DE10,9214716,2019-02-26,2019-03-19,2019-03-07,x,48114031,,
DE10,6178722,2019-02-26,2019-03-19,2019-03-15,x,43088822,,
DE10,4984040,2019-02-26,2019-03-19,2019-03-13,x,30002348,,
US10,9372443,2019-02-26,2019-03-19,2019-03-14,x,30002348,,
BR10,5015903,2019-02-26,2019-03-19,2019-03-15,x,30002348,,
BR10,8695917,2019-02-26,2019-03-19,2019-03-05,x,50759436,,
BR10,7888778,2019-02-26,2019-03-19,2019-03-05,x,32519746,,
BR10,7631988,2019-02-26,2019-03-19,2019-02-28,x,47017350,,
BR10,8600532,2019-02-26,2019-03-19,2019-03-12,x,74997556,,
DE10,9648801,2019-02-26,2019-03-19,2019-03-12,x,30003467,,
DE10,5016562,2019-02-26,2019-03-19,2019-03-05,x,53847241,,
US10,7526814,2019-03-05,2019-03-26,2019-03-18,x,53847241,2019-03-11,2019-03-14
US10,8065580,2019-03-05,2019-03-26,2019-03-21,x,30002348,,
US10,6709065,2019-03-05,2019-03-26,2019-03-14,x,43088822,,
US10,7465621,2019-03-05,2019-03-26,2019-03-18,x,30003467,2019-03-08,2019-03-14
US10,7332698,2019-03-05,2019-03-26,2019-03-25,x,34702906,2019-03-15,2019-03-20
US10,5595325,2019-03-05,2019-03-26,2019-03-07,x,78411205,,
US10,5930952,2019-03-05,2019-03-26,2019-03-11,x,32519746,,
BR10,5638983,2019-03-05,2019-03-26,2019-03-14,x,70920548,,
BR10,5869417,2019-02-20,2019-03-13,2019-03-18,x,30003467,,
BR10,6424514,2019-02-25,2019-03-18,2019-03-12,x,78411205,,
JP11,9240180,2019-03-05,2019-03-26,2019-03-28,x,30003467,,
CN10,7655989,2019-02-18,2019-03-11,2019-03-11,x,30002348,,
CN10,6457070,2019-02-25,2019-03-18,2019-03-04,x,34702906,,
IN10,5053548,2019-02-28,2019-03-21,2019-03-11,x,30002348,,
IN10,5476607,2019-03-05,2019-03-26,2019-03-12,x,32952574,,
IN10,6514746,2019-03-05,2019-03-26,2019-04-01,x,30003467,,
IN10,7645353,2019-02-18,2019-03-11,2019-03-05,x,35101221,2019-02-25,2019-03-01
CN10,9255257,2019-03-05,2019-03-26,2019-03-21,x,35101221,,
IN10,8423501,2019-03-05,2019-03-26,2019-03-22,x,78411205,,
CN10,7232396,2019-03-05,2019-03-26,2019-03-15,x,43088822,,
CN10,9519524,2019-03-05,2019-03-26,2019-03-18,x,30003467,,
DE10,5201764,2019-03-05,2019-03-26,2019-03-13,x,74997556,,
DE10,9724617,2019-03-05,2019-03-26,2019-03-25,x,30002348,,
US10,7082667,2019-03-11,2019-04-01,2019-03-27,x,30003467,,
US10,6624793,2019-03-04,2019-03-25,2019-03-13,x,30002348,,
DE10,5246754,2019-03-11,2019-04-01,2019-03-21,x,30003467,,
BR10,7481028,2019-03-11,2019-04-01,2019-03-21,x,30003467,,
BR10,7829924,2019-03-11,2019-04-01,2019-04-05,x,30002348,,
IN10,7517012,2019-03-11,2019-04-01,2019-03-15,x,78411205,,
US10,8748393,2019-03-11,2019-04-01,2019-03-20,x,50759436,,
JP11,7284168,2019-03-11,2019-04-01,2019-04-15,x,30003467,,
BR10,9055910,2019-03-11,2019-04-01,2019-03-18,x,48114031,,
DE10,7679598,2019-03-11,2019-04-01,2019-03-21,x,30002348,,
DE10,5128364,2019-03-11,2019-04-01,2019-03-27,x,43088822,,
IN10,8546872,2019-03-11,2019-04-01,2019-03-20,x,48114031,,
DE10,6923269,2019-03-11,2019-04-01,2019-04-04,x,73419740,,
CN10,8646382,2019-03-11,2019-04-01,2019-03-27,x,30003467,,
IN10,7148750,2019-03-11,2019-04-01,2019-03-14,x,30003467,,
CN10,6198995,2019-03-11,2019-04-01,2019-04-02,x,43088822,,
CN10,5644265,2019-03-11,2019-04-01,2019-03-26,x,48114031,,
CN10,7257684,2019-03-11,2019-04-01,2019-03-22,x,78411205,,
DE10,8342501,2019-03-11,2019-04-01,2019-03-13,x,41420829,,
DE10,6475135,2019-03-11,2019-04-01,2019-03-25,x,34702906,,
DE10,9293910,2019-03-11,2019-04-01,2019-04-09,x,32519746,,
US10,6887334,2019-03-19,2019-04-09,2019-04-08,x,30003467,2019-03-28,2019-04-01
DE10,7481139,2019-03-19,2019-04-09,2019-04-04,x,73419740,,
US10,6900009,2019-03-19,2019-04-09,2019-04-08,x,48114031,,
US10,8540817,2019-03-19,2019-04-09,2019-04-11,x,43088822,,
DE10,8278720,2019-03-19,2019-04-09,2019-03-28,x,48114031,,
DE10,5445364,2019-03-19,2019-04-09,2019-04-03,x,30002348,,
DE10,9116079,2019-03-19,2019-04-09,2019-04-02,x,30003467,,
US10,5025779,2019-03-19,2019-04-09,2019-04-02,x,74997556,,
DE10,8415591,2019-03-19,2019-04-09,2019-04-12,x,32952574,,
DE10,9519905,2019-03-19,2019-04-09,2019-04-05,x,43088822,,
US10,7842085,2019-03-19,2019-04-09,2019-04-08,x,50759436,2019-03-25,2019-04-04
US10,7893169,2019-03-19,2019-04-09,2019-04-02,x,47017350,,
US10,6840459,2019-03-19,2019-04-09,2019-04-09,x,34702906,,
DE10,9009361,2019-03-19,2019-04-09,2019-04-18,x,50759436,,
IN10,7369149,2019-03-19,2019-04-09,2019-04-10,x,35101221,,
CN10,5146422,2019-03-19,2019-04-09,2019-03-29,x,41420829,,
BR10,8669551,2019-03-19,2019-04-09,2019-04-09,x,30002348,,
IN10,6182626,2019-03-19,2019-04-09,2019-04-10,x,53847241,2019-03-27,2019-04-03
CN10,7793326,2019-03-19,2019-04-09,2019-04-11,x,35101221,2019-03-29,2019-04-01
CN10,7288134,2019-03-19,2019-04-09,2019-03-27,x,30002348,,
CN10,8644797,2019-03-19,2019-04-09,2019-04-04,x,74997556,2019-03-25,2019-03-29
CN10,9112987,2019-03-19,2019-04-09,2019-04-04,x,48114031,2019-03-25,2019-04-03
CN10,5226546,2019-03-19,2019-04-09,2019-03-28,x,32519746,,
IN10,8776148,2019-03-19,2019-04-09,2019-04-03,x,30002348,,
IN10,9426444,2019-03-19,2019-04-09,2019-04-04,x,48114031,,
IN10,8417362,2019-03-19,2019-04-09,2019-04-01,x,32519746,,
BR10,9690537,2019-03-19,2019-04-09,2019-04-04,x,48114031,,
BR10,5380751,2019-03-19,2019-04-09,2019-04-17,x,73419740,,
JP11,6444955,2019-03-19,2019-04-09,2019-04-08,x,30002348,,
JP11,6741934,2019-03-19,2019-04-09,2019-04-12,x,41420829,,
JP11,6014877,2019-03-19,2019-04-09,2019-04-05,x,47017350,,
BR10,4972825,2019-03-19,2019-04-09,2019-03-27,x,30003467,,
BR10,5732896,2019-03-19,2019-04-09,2019-03-25,x,34702906,,
BR10,7278296,2019-03-19,2019-04-09,2019-03-26,x,38334498,,
US10,6263710,2019-03-26,2019-04-16,2019-04-16,x,30003467,,
US10,8462285,2019-03-26,2019-04-16,2019-04-08,x,43088822,,
US10,7370312,2019-03-26,2019-04-16,2019-04-05,x,32952574,,
US10,7735754,2019-03-26,2019-04-16,2019-04-02,x,32519746,,
US10,5277217,2019-03-26,2019-04-16,2019-03-29,x,41420829,,
US10,8548515,2019-03-26,2019-04-16,2019-04-24,x,30002348,,
US10,6888132,2019-03-26,2019-04-16,2019-04-08,x,74997556,,
US10,7530868,2019-03-26,2019-04-16,2019-04-12,x,47017350,,
DE10,5314846,2019-03-26,2019-04-16,2019-04-01,x,74997556,,
IN10,8474556,2019-03-26,2019-04-16,2019-04-11,x,30003467,2019-04-02,2019-04-08
DE10,7944952,2019-03-26,2019-04-16,2019-03-28,x,48114031,,
DE10,8727507,2019-03-26,2019-04-16,2019-04-03,x,41420829,,
DE10,9077555,2019-03-26,2019-04-16,2019-04-05,x,30003467,,
JP11,9367119,2019-03-26,2019-04-16,2019-04-15,x,53847241,2019-04-01,2019-04-10
JP11,5319591,2019-03-26,2019-04-16,2019-04-16,x,70920548,,
JP11,5426263,2019-03-26,2019-04-16,2019-04-17,x,30002348,,
CN10,8020912,2019-03-26,2019-04-16,2019-04-15,x,32519746,,
IN10,8613215,2019-03-26,2019-04-16,2019-04-02,x,32519746,,
US10,6648432,2019-03-26,2019-04-16,2019-04-15,x,34702906,,
IN10,8772658,2019-03-26,2019-04-16,2019-04-22,x,50759436,,
IN10,7604371,2019-03-06,2019-03-27,2019-03-13,x,34702906,,
IN10,8650543,2019-03-12,2019-04-02,2019-04-01,x,48114031,2019-03-18,2019-03-21
IN10,5257125,2019-03-26,2019-04-16,2019-04-02,x,43088822,,
BR10,9067295,2019-03-26,2019-04-16,2019-04-19,x,30002348,2019-04-04,2019-04-12
BR10,5431119,2019-03-26,2019-04-16,2019-04-02,x,48114031,,
BR10,9552516,2019-03-26,2019-04-16,2019-04-05,x,30003467,,
JP11,4967754,2019-04-02,2019-04-23,2019-04-24,x,30002348,,
IN10,5220261,2019-04-02,2019-04-23,2019-04-25,x,30003467,2019-04-08,2019-04-17
IN10,8549926,2019-04-02,2019-04-23,2019-04-12,x,48114031,2019-04-03,2019-04-10
IN10,9514976,2019-04-02,2019-04-23,2019-04-19,x,30002348,,
IN10,7498498,2019-04-02,2019-04-23,2019-04-15,x,78411205,,
IN10,9450760,2019-03-25,2019-04-15,2019-04-15,x,53847241,2019-04-03,2019-04-08
US10,7247211,2019-04-02,2019-04-23,2019-04-25,x,30002348,,
CN10,7735564,2019-04-02,2019-04-23,2019-04-04,x,35101221,,
BR10,5442543,2019-04-02,2019-04-23,2019-04-11,x,43088822,,
IN10,9657303,2019-04-02,2019-04-23,2019-04-25,x,47017350,,
US10,8555129,2019-04-02,2019-04-23,2019-04-12,x,70920548,,
US10,8050023,2019-04-02,2019-04-23,2019-04-16,x,48114031,,
US10,6493602,2019-04-02,2019-04-23,2019-04-12,x,50759436,,
US10,5370412,2019-04-02,2019-04-23,2019-04-11,x,74997556,,
US10,9184190,2019-04-02,2019-04-23,2019-04-24,x,43088822,,
US10,7377599,2019-04-02,2019-04-23,2019-04-11,x,30003467,,
BR10,7054893,2019-04-02,2019-04-23,2019-04-08,x,30002348,,
IN10,5208772,2019-04-02,2019-04-23,2019-04-17,x,74997556,,
DE10,9501605,2019-04-02,2019-04-23,2019-05-01,x,35101221,,
DE10,5069770,2019-04-02,2019-04-23,2019-04-22,x,74997556,,
DE10,5586573,2019-04-02,2019-04-23,2019-05-03,x,30002348,,
DE10,9402088,2019-04-02,2019-04-23,2019-04-09,x,34702906,,
CN10,9606806,2019-03-18,2019-04-08,2019-04-09,x,30003467,,
CN10,7622853,2019-04-02,2019-04-23,2019-04-10,x,53847241,,
CN10,6179554,2019-04-02,2019-04-23,2019-04-11,x,47017350,,
US10,9603040,2019-04-02,2019-04-23,2019-04-16,x,34702906,,
DE10,8535741,2019-04-02,2019-04-23,2019-04-03,x,50759436,,
CN10,6809660,2019-04-02,2019-04-23,2019-04-25,x,34702906,,
JP11,6798467,2019-04-02,2019-04-23,2019-04-22,x,30003467,2019-04-11,2019-04-18
JP11,7317467,2019-04-02,2019-04-23,2019-04-11,x,49330617,,
CN10,7309457,2019-04-02,2019-04-23,2019-04-12,x,30002348,2019-04-08,2019-04-10
JP11,7359730,2019-04-08,2019-04-29,2019-04-12,x,43088822,,
JP11,7166794,2019-04-08,2019-04-29,2019-04-12,x,30002348,,
JP11,6835320,2019-04-08,2019-04-29,2019-04-11,x,50759436,,
DE10,6734787,2019-04-08,2019-04-29,2019-04-19,x,43088822,,
IN10,5634005,2019-04-08,2019-04-29,2019-04-30,x,34702906,,
IN10,7897030,2019-04-08,2019-04-29,2019-04-25,x,78411205,,
IN10,8686191,2019-04-08,2019-04-29,2019-04-22,x,32519746,,
BR10,7439063,2019-04-08,2019-04-29,2019-04-24,x,38334498,,
IN10,6892472,2019-04-08,2019-04-29,2019-04-18,x,43088822,,
DE10,8522723,2019-04-08,2019-04-29,2019-04-12,x,48114031,,
DE10,8731003,2019-04-08,2019-04-29,2019-04-22,x,55553693,,
IN10,6239550,2019-04-08,2019-04-29,2019-04-19,x,30002348,,
IN10,9309493,2019-04-08,2019-04-29,2019-04-19,x,30003467,,
DE10,8565754,2019-04-08,2019-04-29,2019-04-22,x,30002348,,
US10,5867297,2019-04-08,2019-04-29,2019-05-07,x,48114031,,
US10,5268015,2019-04-08,2019-04-29,2019-05-06,x,30003467,,
US10,5724655,2019-03-22,2019-04-12,2019-04-09,x,35101221,,
US10,5984352,2019-04-08,2019-04-29,2019-04-26,x,78411205,,
CN10,8142041,2019-04-08,2019-04-29,2019-04-10,x,50759436,,
CN10,7674202,2019-04-08,2019-04-29,2019-04-18,x,32952574,2019-04-12,2019-04-15
CN10,7404290,2019-04-08,2019-04-29,2019-04-26,x,35101221,,
CN10,7132097,2019-04-08,2019-04-29,2019-04-11,x,30003467,,
US10,6820333,2019-04-08,2019-04-29,2019-04-24,x,43088822,,
CN10,5677740,2019-03-29,2019-04-19,2019-04-12,x,30002348,,
JP11,6641934,2019-04-15,2019-05-06,2019-04-25,x,50759436,,
JP11,7489904,2019-04-15,2019-05-06,2019-04-25,x,35101221,,
JP11,6942114,2019-04-15,2019-05-06,2019-05-03,x,32519746,,
JP11,7082077,2019-04-15,2019-05-06,2019-05-02,x,30002348,,
US10,4980217,2019-04-15,2019-05-06,2019-05-02,x,74997556,,
DE10,5959430,2019-04-15,2019-05-06,2019-05-02,x,34702906,,
DE10,8460177,2019-04-15,2019-05-06,2019-04-22,x,38334498,,
DE10,8889152,2019-04-15,2019-05-06,2019-04-17,x,48114031,,
DE10,7902266,2019-04-15,2019-05-06,2019-04-29,x,30002348,,
DE10,5804138,2019-04-15,2019-05-06,2019-04-25,x,35101221,,
DE10,9402354,2019-04-15,2019-05-06,2019-04-24,x,78411205,,
CN10,9097416,2019-04-15,2019-05-06,2019-04-26,x,74997556,,
CN10,9251673,2019-04-15,2019-05-06,2019-04-29,x,43088822,,
IN10,8969541,2019-04-15,2019-05-06,2019-04-22,x,30003467,,
JP11,5081631,2019-04-15,2019-05-06,2019-04-30,x,78411205,2019-04-23,2019-04-26
US10,6923252,2019-04-15,2019-05-06,2019-05-08,x,30002348,2019-04-23,2019-04-29
US10,7588683,2019-04-15,2019-05-06,2019-04-25,x,30003467,,
IN10,6088455,2019-04-15,2019-05-06,2019-04-24,x,50759436,,
IN10,9127216,2019-04-15,2019-05-06,2019-04-18,x,34702906,,
BR10,9674200,2019-03-28,2019-04-18,2019-04-11,x,78411205,,
JP11,5016587,2019-04-15,2019-05-06,2019-05-02,x,38334498,,
BR10,7301300,2019-04-15,2019-05-06,2019-04-22,x,41420829,,
IN10,7191864,2019-04-15,2019-05-06,2019-04-30,x,53847241,2019-04-19,2019-04-23
BR10,6356733,2019-04-15,2019-05-06,2019-04-26,x,30002348,,
JP11,8590759,2019-04-15,2019-05-06,2019-05-03,x,30003467,2019-04-18,2019-04-23
IN10,9109390,2019-04-23,2019-05-14,2019-05-08,x,48114031,2019-04-25,2019-04-29
CN10,9082007,2019-04-23,2019-05-14,2019-05-13,x,70920548,,
CN10,6647166,2019-04-23,2019-05-14,2019-05-15,x,32519746,,
IN10,5705141,2019-04-23,2019-05-14,2019-05-09,x,74997556,,
IN10,5689844,2019-04-16,2019-05-07,2019-05-06,x,34702906,2019-04-24,2019-05-01
IN10,5773700,2019-04-23,2019-05-14,2019-05-09,x,50759436,2019-04-26,2019-04-30
JP11,7764269,2019-04-23,2019-05-14,2019-05-02,x,30003467,,
JP11,5494044,2019-04-23,2019-05-14,2019-05-20,x,30002348,,
JP11,7325696,2019-04-23,2019-05-14,2019-05-21,x,53847241,,
CN10,7538801,2019-04-23,2019-05-14,2019-05-01,x,30003467,,
IN10,9322997,2019-04-12,2019-05-03,2019-04-29,x,30003467,,
IN10,6456513,2019-04-05,2019-04-26,2019-05-02,x,30002348,,
IN10,6767407,2019-04-23,2019-05-14,2019-05-01,x,53847241,,
CN10,5769102,2019-04-23,2019-05-14,2019-05-01,x,55553693,,
CN10,6177282,2019-04-23,2019-05-14,2019-04-29,x,34702906,,
JP11,5587000,2019-04-23,2019-05-14,2019-05-06,x,32519746,,
CN10,7902746,2019-04-23,2019-05-14,2019-05-01,x,38334498,,
CN10,8705769,2019-04-23,2019-05-14,2019-04-30,x,35101221,,
CN10,5329864,2019-04-23,2019-05-14,2019-04-24,x,74997556,,
US10,6520406,2019-04-23,2019-05-14,2019-04-25,x,30002348,,
US10,7052427,2019-04-23,2019-05-14,2019-04-30,x,43088822,,
BR10,9172678,2019-04-23,2019-05-14,2019-04-30,x,32952574,,
BR10,8566596,2019-04-23,2019-05-14,2019-05-20,x,30002348,,
US10,6759765,2019-04-23,2019-05-14,2019-05-07,x,30003467,,
BR10,6808369,2019-04-23,2019-05-14,2019-05-07,x,48114031,,
DE10,8426927,2019-04-23,2019-05-14,2019-05-01,x,35101221,,
BR10,8444902,2019-04-23,2019-05-14,2019-05-02,x,50759436,,
DE10,8010813,2019-04-23,2019-05-14,2019-05-01,x,30003467,,
DE10,9015376,2019-04-23,2019-05-14,2019-04-30,x,53847241,,
DE10,8956813,2019-04-23,2019-05-14,2019-04-29,x,38334498,,
DE10,6172630,2019-04-23,2019-05-14,2019-04-30,x,48114031,,
CN10,9149515,2019-04-30,2019-05-21,2019-05-23,x,30003467,,
CN10,6869926,2019-04-30,2019-05-21,2019-05-20,x,34702906,2019-05-08,2019-05-13
JP11,6776263,2019-04-22,2019-05-13,2019-05-07,x,30003467,,
JP11,6312593,2019-04-30,2019-05-21,2019-06-03,x,50759436,,
BR10,6469721,2019-04-30,2019-05-21,2019-05-14,x,30002348,,
CN10,6403305,2019-04-30,2019-05-21,2019-05-09,x,48114031,,
US10,5073258,2019-04-30,2019-05-21,2019-05-06,x,74997556,,
US10,5797066,2019-04-30,2019-05-21,2019-05-15,x,48114031,2019-05-07,2019-05-08
JP11,9218362,2019-04-30,2019-05-21,2019-05-08,x,35101221,,
IN10,6100418,2019-04-30,2019-05-21,2019-05-28,x,30003467,,
IN10,5362425,2019-04-30,2019-05-21,2019-05-28,x,32952574,,
